Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
124,"M Ghafoorian, A Mehrtash, T Kapur, N Karssemeijer, E Marchiori, ...","Transfer learning for domain adaptation in mri: Application in brain lesion segmentation",2017,"International conference on medical image computing and computer-assisted …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14433108461414425390",1,"2020-08-13 15:44:44","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:a0OBvERweLwC",,,,,124,41.33,21,6,3,""
117,"M Ghafoorian, N Karssemeijer, T Heskes, IWM van Uden, CI Sanchez, ...","Location sensitive deep convolutional neural networks for segmentation of white matter hyperintensities",2017,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5144190841808936245",2,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:rO6llkc54NcC",7,1,1,12,117,39.00,20,6,3,""
115,"A Carass, S Roy, A Jog, JL Cuzzocreo, E Magrath, A Gherman, J Button, ...","Longitudinal multiple sclerosis lesion segmentation: resource and challenge",2017,"NeuroImage","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12931874692520511368",3,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:dfsIfKJdRG4C",148,,77,102,115,38.33,14,8,3,""
113,"RM Mann, RD Mus, J van Zelst, C Geppert, N Karssemeijer, B Platel","A novel approach to contrast-enhanced breast magnetic resonance imaging for screening: high-resolution ultrafast dynamic imaging",2014,"Investigative radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10399546970199943856",4,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:j3f4tGmQtD8C",49,9,579,585,113,18.83,19,6,6,""
111,"A Gubern-Mérida, M Kallenberg, B Platel, RM Mann, R Martí, ...","Volumetric breast density estimation from full-field digital mammograms: a validation study",2014,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9649554823203874553",5,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:_Qo2XoVZTnwC",9,1,85952,,111,18.50,19,6,6,""
97,"EJL Brunenberg, P Moeskops, WH Backes, C Pollo, L Cammoun, ...","Structural and resting state functional connectivity of the subthalamic nucleus: identification of motor STN parts and the hyperdirect pathway",2012,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7953209599105730739",6,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:4DMP91E08xMC",7,6,39061,,97,12.13,16,6,8,""
88,"A Gubern-Mérida, R Martí, J Melendez, JL Hauth, RM Mann, ...","Automated localization of breast cancer in DCE-MRI",2015,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10687699890920421893",7,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:NMxIlDl6LWMC",20,1,265,274,88,17.60,15,6,5,""
85,"M Ghafoorian, N Karssemeijer, T Heskes, M Bergkamp, J Wissink, J Obels, ...","Deep multi-scale location-aware 3D convolutional neural networks for automated detection of lacunes of presumed vascular origin",2017,"NeuroImage: Clinical","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14192982400070367057",8,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:zA6iFVUQeVQC",14,,391,399,85,28.33,12,7,3,""
75,"T Tan, B Platel, H Huisman, CI Sánchez, R Mus, N Karssemeijer","Computer-aided lesion diagnosis in automated 3-D breast ultrasound using coronal spiculation",2012,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=920988454317757286",9,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:L8Ckcad2t8MC",31,5,1034,1042,75,9.38,13,6,8,""
70,"T Tan, B Platel, R Mus, L Tabar, RM Mann, N Karssemeijer","Computer-aided detection of cancer in automated 3-D breast ultrasound",2013,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7682914345881547785",10,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:HDshCWvjkbEC",32,9,1698,1706,70,10.00,12,6,7,""
66,"R Brecheisen, A Vilanova, B Platel, B ter Haar Romeny","Parameter sensitivity visualization for DTI fiber tracking",2009,"IEEE Transactions on Visualization and Computer Graphics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16104233345726047543",11,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:_FxGoFyzp5QC",15,6,1441,1448,66,6.00,17,4,11,""
61,"EJL Brunenberg, A Vilanova, V Visser-Vandewalle, Y Temel, ...","Automatic trajectory planning for deep brain stimulation: a feasibility study",2007,"International Conference on Medical Image Computing and Computer-Assisted …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5894165833264999381",12,"2020-08-13 15:44:44","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:2osOgNQ5qMEC",,,,,61,4.69,12,5,13,""
53,"HM Van Der Holst, IWM van Uden, AM Tuladhar, KF de Laat, ...","Cerebral small vessel disease and incident parkinsonism: the RUN DMC study",2015,"Neurology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12137067856305542323",13,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:vV6vV6tmYwMC",85,18,1569,1577,53,10.60,11,5,5,""
53,"R Duits, M Felsberg, L Florack, B Platel","α scale spaces on a bounded domain",2003,"International Conference on Scale-Space Theories in Computer Vision","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17654684781300321033",14,"2020-08-13 15:44:44","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:u5HHmVD_uO8C",,,494,510,53,3.12,13,4,17,""
50,"L Wang, B Platel, T Ivanovskaya, M Harz, HK Hahn","Fully automatic breast segmentation in 3D breast MRI",2012,"2012 9th IEEE International Symposium on Biomedical Imaging (ISBI)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8233055784581323373",15,"2020-08-13 15:44:44","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:9ZlFYXVOiuMC",,,1024,1027,50,6.25,10,5,8,""
49,"B Platel, R Mus, T Welte, N Karssemeijer, R Mann","Automated characterization of breast lesions imaged with an ultrafast DCE-MR protocol",2013,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15091674449478966998",16,"2020-08-13 15:44:44","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=W13cBesAAAAJ&pagesize=100&citation_for_view=W13cBesAAAAJ:TQgYirikUcIC",33,2,225,232,49,7.00,10,5,7,""
