Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3754,"G Litjens, T Kooi, BE Bejnordi, AAA Setio, F Ciompi, M Ghafoorian, ...","A survey on deep learning in medical image analysis",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17186798094825352745",1,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:voxG-9qLvA4C",42,,60,88,3754,1251.33,536,7,3,""
2720,"J Staal, MD Abràmoff, M Niemeijer, MA Viergever, B Van Ginneken","Ridge-based vessel segmentation in color images of the retina",2004,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1421589366492561845",2,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:u-x6o8ySG0sC",23,4,501,509,2720,170.00,544,5,16,""
1745,"KJ Dana, B Van Ginneken, SK Nayar, JJ Koenderink","Reflectance and texture of real-world surfaces",1999,"ACM Transactions On Graphics (TOG)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10703879051793209252,17798667214681108922",3,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:u5HHmVD_uO8C",18,1,1,34,1745,83.10,436,4,21,""
950,"H Greenspan, B Van Ginneken, RM Summers","Guest editorial deep learning in medical imaging: Overview and future promise of an exciting new technique",2016,"IEEE Transactions on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1397506309546706475",4,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:xEWuX1mE_FUC",35,5,1153,1159,950,237.50,317,3,4,""
849,"M Niemeijer, J Staal, B van Ginneken, M Loog, MD Abramoff","Comparative study of retinal vessel segmentation methods on a new publicly available database",2004,"Medical imaging 2004: image processing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4847858369065721334",5,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:qjMakFHDy7sC",5370,,648,656,849,53.06,170,5,16,""
817,"T Heimann, B Van Ginneken, MA Styner, Y Arzhaeva, V Aurich, C Bauer, ...","Comparison and evaluation of methods for liver segmentation from CT datasets",2009,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6089436202002220059",6,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:W7OEmFMy1HYC",28,8,1251,1265,817,74.27,117,7,11,""
816,"BE Bejnordi, M Veta, PJ Van Diest, B Van Ginneken, N Karssemeijer, ...","Diagnostic assessment of deep learning algorithms for detection of lymph node metastases in women with breast cancer",2017,"Jama","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6260116032142865268",7,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:94rQ0kDLHKYC",318,22,2199,2210,816,272.00,136,6,3,""
652,"B Van Ginneken, AF Frangi, JJ Staal, BM ter Haar Romeny, MA Viergever","Active shape model segmentation with optimal features",2002,"Medical Imaging, IEEE Transactions on","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=565682893025109187",8,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:d1gkVwhDpl0C",21,8,924,933,652,36.22,130,5,18,""
622,"I Sluimer, A Schilham, M Prokop, B Van Ginneken","Computer analysis of computed tomography scans of the lung: a survey",2006,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10943222434899920168",9,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:2osOgNQ5qMEC",25,4,385,405,622,44.43,156,4,14,""
605,"AAA Setio, F Ciompi, G Litjens, P Gerke, C Jacobs, SJ Van Riel, ...","Pulmonary nodule detection in CT images: false positive reduction using multi-view convolutional networks",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8158189024082045415",10,"2020-09-01 21:02:34","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1j6_MsAAAAJ&pagesize=100&citation_for_view=O1j6_MsAAAAJ:i4l3h6Pr8ZgC",35,5,1160,1169,605,151.25,86,7,4,""
