Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3688,"G Litjens, T Kooi, BE Bejnordi, AAA Setio, F Ciompi, M Ghafoorian, ...","A survey on deep learning in medical image analysis",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17186798094825352745",1,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:1sJd4Hv_s6UC",42,,60,88,3688,1229.33,527,7,3,""
599,"AAA Setio, F Ciompi, G Litjens, P Gerke, C Jacobs, SJ Van Riel, ...","Pulmonary nodule detection in CT images: false positive reduction using multi-view convolutional networks",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8158189024082045415",2,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:yD5IFk8b50cC",35,5,1160,1169,599,149.75,86,7,4,""
490,"G Litjens, CI Sánchez, N Timofeeva, M Hermsen, I Nagtegaal, I Kovacs, ...","Deep learning as a tool for increased accuracy and efficiency of histopathological diagnosis",2016,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15076999051911417421",3,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:f2IySw72cVMC",6,,26286,26286,490,122.50,70,7,4,""
446,"M Niemeijer, B Van Ginneken, MJ Cree, A Mizutani, G Quellec, ...","Retinopathy online challenge: automatic detection of microaneurysms in digital color fundus photographs",2009,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9532443460643942339",4,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:u-x6o8ySG0sC",29,1,185,195,446,40.55,74,6,11,""
429,"T Kooi, G Litjens, B Van Ginneken, A Gubern-Mérida, CI Sánchez, ...","Large scale deep learning for computer aided detection of mammographic lesions",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4747474489852859159",5,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:_xSYboBqXhAC",35,,303,312,429,143.00,72,6,3,""
240,"MJJP Van Grinsven, B van Ginneken, CB Hoyng, T Theelen, CI Sánchez","Fast convolutional neural network training using selective data sampling: Application to hemorrhage detection in color fundus images",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9170568847453666888",6,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:cFHS6HbyZ2cC",35,5,1273,1284,240,60.00,48,5,4,""
233,"D Abásolo, R Hornero, P Espino, J Poza, CI Sánchez, R de la Rosa","Analysis of regularity in the EEG background activity of Alzheimer's disease patients with Approximate Entropy",2005,"Clinical Neurophysiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6548562133891070710",7,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:u5HHmVD_uO8C",116,8,1826,1834,233,15.53,39,6,15,""
206,"CI Sánchez, M García, A Mayo, MI López, R Hornero","Retinal image analysis based on mixture models to detect hard exudates",2009,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16533196676659344093",8,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:UeHWp8X0CEIC",13,4,650,658,206,18.73,41,5,11,""
193,"M García, CI Sánchez, MI López, D Abásolo, R Hornero","Neural network based detection of hard exudates in retinal images",2009,"Computer Methods and programs in biomedicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11747171028471696967",9,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:2osOgNQ5qMEC",93,1,9,19,193,17.55,39,5,11,""
173,"CI Sanchez, R Hornero, MI Lopez, M Aboy, J Poza, D Abasolo","A novel automatic image processing algorithm for detection of hard exudates based on retinal image analysis",2008,"Medical engineering & physics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=806873315643611742",10,"2020-08-13 07:50:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YxMfdYEAAAAJ&pagesize=100&citation_for_view=YxMfdYEAAAAJ:9ZlFYXVOiuMC",30,3,350,357,173,14.42,29,6,12,""
