Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
813,"T Heimann, B Van Ginneken, MA Styner, Y Arzhaeva, V Aurich, C Bauer, ...","Comparison and evaluation of methods for liver segmentation from CT datasets",2009,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6089436202002220059",1,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:u5HHmVD_uO8C",28,8,1251,1265,813,73.91,116,7,11,""
302,"K Klooster, NHT ten Hacken, JE Hartman, HAM Kerstjens, ...","Endobronchial valves for emphysema without interlobar collateral ventilation",2015,"New England Journal of Medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7250114268173497641",2,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:XiSMed-E-HIC",373,24,2325,2335,302,60.40,60,5,5,""
244,"EM van Rikxoort, B de Hoop, MA Viergever, M Prokop, B van Ginneken","Automatic lung segmentation from thoracic computed tomography scans using a hybrid approach with error detection",2009,"Medical physics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14169941223089065550",3,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:u-x6o8ySG0sC",36,7,2934,2947,244,22.18,49,5,11,""
202,"EM van Rikxoort, I Isgum, Y Arzhaeva, M Staring, S Klein, MA Viergever, ...","Adaptive local multi-atlas segmentation: Application to the heart and the caudate nucleus",2010,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4163686614704886737,403647541700125074",4,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:2osOgNQ5qMEC",14,1,39,49,202,20.20,29,7,10,""
187,"P Lo, B Van Ginneken, JM Reinhardt, T Yavarna, PA De Jong, B Irving, ...","Extraction of airways from CT (EXACT'09)",2012,"IEEE Transactions on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7968104102758490533",5,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:isC4tDSrTZIC",31,11,2093,2107,187,23.38,27,7,8,""
164,"C Jacobs, EM van Rikxoort, T Twellmann, ET Scholten, PA de Jong, ...","Automatic detection of subsolid pulmonary nodules in thoracic computed tomography images",2014,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13872923651436646410",6,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:g5m5HwL7SMYC",18,2,374,384,164,27.33,27,6,6,""
147,"G Deslee, K Klooster, M Hetzel, F Stanzel, R Kessler, CH Marquette, ...","Lung volume reduction coil treatment for patients with severe emphysema: a European multicentre trial",2014,"Thorax","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2996768261833148300",7,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:cFHS6HbyZ2cC",69,11,980,986,147,24.50,21,7,6,""
116,"EM Van Rikxoort, B De Hoop, S Van De Vorst, M Prokop, B Van Ginneken","Automatic segmentation of pulmonary segments from volumetric chest CT scans",2009,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6723869456775488402",8,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:qjMakFHDy7sC",28,4,621,630,116,10.55,23,5,11,""
113,"SJ van Riel, CI Sánchez, AA Bankier, DP Naidich, J Verschakelen, ...","Observer variability for classification of pulmonary nodules on low-dose CT images and its effect on nodule management",2015,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13650233394438006732",9,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:P5F9QuxV20EC",277,3,863,871,113,22.60,19,6,5,""
105,"B Lassen, EM van Rikxoort, M Schmidt, S Kerkstra, B van Ginneken, ...","Automatic segmentation of the pulmonary lobes from chest CT scans based on fissures, vessels, and bronchi",2012,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1728731555240293040",10,"2020-08-13 12:24:08","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_dqymXQAAAAJ&pagesize=100&citation_for_view=_dqymXQAAAAJ:blknAaTinKkC",32,2,210,222,105,13.13,18,6,8,""
