Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3688,"G Litjens, T Kooi, BE Bejnordi, AAA Setio, F Ciompi, M Ghafoorian, ...","A survey on deep learning in medical image analysis",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17186798094825352745",1,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:M3NEmzRMIkIC",42,,60,88,3688,1229.33,527,7,3,""
599,"AAA Setio, F Ciompi, G Litjens, P Gerke, C Jacobs, SJ Van Riel, ...","Pulmonary nodule detection in CT images: false positive reduction using multi-view convolutional networks",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8158189024082045415",2,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:e5wmG9Sq2KIC",35,5,1160,1169,599,149.75,86,7,4,""
227,"B Van Ginneken, AAA Setio, C Jacobs, F Ciompi","Off-the-shelf convolutional neural network features for pulmonary nodule detection in computed tomography scans",2015,"2015 IEEE 12th International symposium on biomedical imaging (ISBI)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3459188085599203383",3,"2020-08-13 07:49:11","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:mB3voiENLucC",,,286,289,227,45.40,57,4,5,""
191,"F Ciompi, B de Hoop, SJ van Riel, K Chung, ET Scholten, M Oudkerk, ...","Automatic classification of pulmonary peri-fissural nodules in computed tomography using an ensemble of 2D views and a convolutional neural network out-of-the-box",2015,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14568521204042342742",4,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:HDshCWvjkbEC",26,1,195,202,191,38.20,27,7,5,""
171,"F Ciompi, K Chung, SJ Van Riel, AAA Setio, PK Gerke, C Jacobs, ...","Towards automatic pulmonary nodule management in lung cancer screening with deep learning",2017,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8567006734401252147",5,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:bEWYMUwI8FkC",7,,46479,46479,171,57.00,24,7,3,""
88,"S Balocco, C Gatta, F Ciompi, A Wahle, P Radeva, S Carlier, G Unal, ...","Standardized evaluation methodology and reference database for evaluating IVUS image segmentation",2014,"Computerized medical imaging and graphics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8816868787926476106",6,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:ULOm3_A8WrAC",38,2,70,90,88,14.67,11,8,6,""
80,"JC Seabra, F Ciompi, O Pujol, J Mauri, P Radeva, J Sanches","Rayleigh mixture model for plaque characterization in intravascular ultrasound",2011,"IEEE Transactions on Biomedical Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9249766986013401268",7,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:LkGwnXOMwfcC",58,5,1314,1324,80,8.89,13,6,9,""
75,"F Ciompi, O Geessink, BE Bejnordi, GS De Souza, A Baidoshvili, G Litjens, ...","The importance of stain normalization in colorectal tissue classification with convolutional networks",2017,"2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4102008958123816219",8,"2020-08-13 07:49:11","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:maZDTaKrznsC",,,,,75,25.00,11,7,3,""
56,"M Veta, YJ Heng, N Stathonikos, BE Bejnordi, F Beca, T Wollmann, ...","Predicting breast tumor proliferation from whole-slide images: the TUPAC16 challenge",2019,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11612591462765985317",9,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:2P1L_qKh6hAC",54,,111,121,56,56.00,8,7,1,""
53,"F Ciompi, O Pujol, C Gatta, M Alberti, S Balocco, X Carrillo, J Mauri-Ferre, ...","HoliMAb: A holistic approach for Media–Adventitia border detection in intravascular ultrasound",2012,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1017006820364634001",10,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:3fE2CSJIrl8C",16,6,1085,1100,53,6.63,7,8,8,""
49,"JP Charbonnier, EM Van Rikxoort, AAA Setio, CM Schaefer-Prokop, ...","Improving airway segmentation in computed tomography using leak detection with convolutional networks",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10119306392018768738",11,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:TFP_iSt0sucC",36,,52,60,49,16.33,10,5,3,""
45,"D Tellez, M Balkenhol, I Otte-Höller, R van de Loo, R Vogels, P Bult, ...","Whole-slide mitosis detection in H&E breast histology using PHH3 as a reference to train distilled stain-invariant convolutional networks",2018,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=664853976239237267",12,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:RYcK_YlVTxYC",37,9,2126,2136,45,22.50,6,7,2,""
42,"S Balocco, M Alberti, C Gatta, F Ciompi, O Pujol, X Carrillo, JM Ferre, ...","Systems and methods for detecting and displaying body lumen bifurcations",2012,"US Patent App. 13/243,571","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11781206268797307073",13,"2020-08-13 07:49:11","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:MXK_kJrjxJIC",,,,,42,5.25,5,8,8,""
42,"M Alberti, S Balocco, C Gatta, F Ciompi, O Pujol, J Silva, X Carrillo, ...","Automatic bifurcation detection in coronary IVUS sequences",2012,"IEEE transactions on biomedical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4944327237273850643",14,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:hqOjcs7Dif8C",59,4,1022,1031,42,5.25,5,8,8,""
41,"F Ciompi, C Jacobs, ET Scholten, MMW Wille, PA De Jong, M Prokop, ...","Bag-of-frequencies: a descriptor of pulmonary nodules in computed tomography images",2014,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4309508126026672345",15,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:qUcmZB5y_30C",34,4,962,973,41,6.83,6,7,6,""
34,"G Litjens, F Ciompi, JM Wolterink, BD de Vos, T Leiner, J Teuwen, I Išgum","State-of-the-art deep learning in cardiovascular image analysis",2019,"JACC: Cardiovascular Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7949427670884659630",16,"2020-08-13 07:49:11","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DOErev8AAAAJ&pagesize=100&citation_for_view=DOErev8AAAAJ:yD5IFk8b50cC",12,8,1549,1565,34,34.00,5,7,1,""
