Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3754,"G Litjens, T Kooi, BE Bejnordi, AAA Setio, F Ciompi, M Ghafoorian, ...","A survey on deep learning in medical image analysis",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17186798094825352745",1,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:bKqednn6t2AC",42,,60,88,3754,1251.33,536,7,3,""
816,"BE Bejnordi, M Veta, PJ van Diest, B van Ginneken, N Karssemeijer, ...","Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer",2017,"JAMA","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6260116032142865268",2,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:OR75R8vi5nAC",318,22,2199,2210,816,272.00,136,6,3,""
605,"AAA Setio, F Ciompi, G Litjens, P Gerke, C Jacobs, SJ van Riel, ...","Pulmonary nodule detection in ct images: false positive reduction using multi-view convolutional networks",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8158189024082045415",3,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:6ZxmRoH8BuwC",35,5,1160,1169,605,151.25,86,7,4,""
494,"G Litjens, CI Sánchez, N Timofeeva, M Hermsen, I Nagtegaal, I Kovacs, ...","Deep learning as a tool for increased accuracy and efficiency of histopathological diagnosis",2016,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15076999051911417421",4,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:OTTXONDVkokC",6,,26286,26286,494,123.50,71,7,4,""
432,"T Kooi, G Litjens, B van Ginneken, A Gubern-Mérida, CI Sánchez, R Mann, ...","Large scale deep learning for computer aided detection of mammographic lesions",2017,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4747474489852859159",5,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:dBIO0h50nwkC",35,,303,312,432,144.00,62,7,3,""
279,"G Litjens, R Toth, W van de Ven, C Hoeks, S Kerkstra, B van Ginneken, ...","Evaluation of prostate segmentation algorithms for MRI: the PROMISE12 challenge",2013,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12911375061118389379",6,"2020-08-28 08:07:27","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:WF5omc3nYNoC",,,,,279,39.86,40,7,7,""
237,"G Litjens, O Debats, J Barentsz, N Karssemeijer, H Huisman","Computer-aided detection of prostate cancer in MRI",2014,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2908069285137157626",7,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:Se3iqnhoufwC",33,5,1083,1092,237,39.50,47,5,6,""
152,"EK Vos, GJS Litjens, T Kobus, T Hambrock, CA Hulsbergen-van de Kaa, ...","Assessment of prostate cancer aggressiveness using dynamic contrast-enhanced magnetic resonance imaging at 3 T",2013,"European urology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=115460116805624360",8,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:YsMSGLbcyi4C",64,3,448,455,152,21.71,25,6,7,""
130,"BE Bejnordi, G Litjens, N Timofeeva, I Otte-Höller, A Homeyer, ...","Stain specific standardization of whole-slide histopathological images",2015,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11832967785880346265",9,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:9c2xU6iGI7YC",35,2,404,415,130,26.00,22,6,5,""
121,"M Ghafoorian, N Karssemeijer, T Heskes, IWM Uden, CI Sanchez, ...","Location sensitive deep convolutional neural networks for segmentation of white matter hyperintensities",2017,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5144190841808936245",10,"2020-08-28 08:07:27","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=neXK8tMAAAAJ&pagesize=100&citation_for_view=neXK8tMAAAAJ:HIFyuExEbWQC",7,1,5110,5110,121,40.33,20,6,3,""
