Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
633,"CMA Hoeks, JO Barentsz, T Hambrock, D Yakar, DM Somford, ...","Prostate cancer: multiparametric MR imaging for detection, localization, and staging",2011,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8709303086776931557",1,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:7PzlFSSx8tAC",261,1,46,66,633,70.33,106,6,9,""
603,"JJ Futterer, SW Heijmink, TWJ Scheenen, J Veltman, HJ Huisman, P Vos, ...","Prostate Cancer Localization with Dynamic Contrast-enhanced MR Imaging and Proton MR Spectroscopic Imaging1",2006,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1735278023980059617",2,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:u-x6o8ySG0sC",241,2,449,458,603,43.07,86,7,14,""
577,"T Hambrock, DM Somford, HJ Huisman, IM van Oort, JA Witjes, ...","Relationship between apparent diffusion coefficients at 3.0-T MR imaging and Gleason grade in peripheral zone prostate cancer",2011,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2584223731293899692",3,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:3fE2CSJIrl8C",259,2,453,461,577,64.11,96,6,9,""
461,"MR Engelbrecht, HJ Huisman, RJF Laheij, GJ Jager, GJLH van Leenders, ...","Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced MR imaging",2003,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2675577220654358659,13589576213391752314",4,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:u5HHmVD_uO8C",229,1,248,254,461,27.12,77,6,17,""
415,"T Hambrock, DM Somford, C Hoeks, SAW Bouwense, H Huisman, ...","Magnetic resonance imaging guided prostate biopsy in men with repeat negative biopsies and increased prostate specific antigen",2010,"The Journal of urology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4191275900561122443",5,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:Y0pCki6q_DkC",183,2,520,528,415,41.50,69,6,10,""
354,"SW Heijmink, JJ Futterer, T Hambrock, S Takahashi, TWJ Scheenen, ...","Prostate Cancer: Body-Array versus Endorectal Coil MR Imaging at 3 T—Comparison of Image Quality, Localization, and Staging Performance1",2007,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9086501525841300261",6,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:2osOgNQ5qMEC",244,1,184,195,354,27.23,59,6,13,""
324,"T Hambrock, C Hoeks, C Hulsbergen-Van de Kaa, T Scheenen, J Fütterer, ...","Prospective assessment of prostate cancer aggressiveness using 3-T diffusion-weighted magnetic resonance imaging–guided biopsies versus a systematic 10-core transrectal …",2012,"European urology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18221975544734376170",7,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:4OULZ7Gr8RgC",61,1,177,184,324,40.50,54,6,8,""
275,"G Litjens, R Toth, W van de Ven, C Hoeks, S Kerkstra, B van Ginneken, ...","Evaluation of prostate segmentation algorithms for MRI: the PROMISE12 challenge",2014,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12911375061118389379",8,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:xUD2GqFNeDMC",18,2,359,373,275,45.83,39,7,6,""
253,"JJ Fütterer, MR Engelbrecht, HJ Huisman, GJ Jager, ...","Staging prostate cancer with dynamic contrast-enhanced endorectal MR imaging prior to radical prostatectomy: Experienced versus Less experienced readers1",2005,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10790555521593470988,13094974208617290718",9,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:qjMakFHDy7sC",237,2,541,541,253,16.87,51,5,15,""
250,"S van Engeland, PR Snoeren, H Huisman, C Boetes, N Karssemeijer","Volumetric breast density estimation from full-field digital mammograms",2006,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12818555548460097494",10,"2020-08-13 07:50:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zkMmvCwAAAAJ&pagesize=100&citation_for_view=zkMmvCwAAAAJ:Tyk-4Ss8FVUC",25,3,273,282,250,17.86,50,5,14,""
