Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3681,"G Litjens, T Kooi, BE Bejnordi, AAA Setio, F Ciompi, M Ghafoorian, ...","A survey on deep learning in medical image analysis",2017,"Medical image analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17186798094825352745",1,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:D_sINldO8mEC",42,,60,88,3681,1227.00,526,7,3,""
791,"BE Bejnordi, M Veta, PJ Van Diest, B Van Ginneken, N Karssemeijer, ...","Diagnostic assessment of deep learning algorithms for detection of lymph node metastases in women with breast cancer",2017,"Jama","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6260116032142865268",2,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:WqliGbK-hY8C",318,22,2199,2210,791,263.67,132,6,3,""
490,"G Litjens, CI Sánchez, N Timofeeva, M Hermsen, I Nagtegaal, I Kovacs, ...","Deep learning as a tool for increased accuracy and efficiency of histopathological diagnosis",2016,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15076999051911417421",3,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:tOudhMTPpwUC",6,,26286,26286,490,122.50,70,7,4,""
359,"S Pillen, RO Tak, MJ Zwarts, MMY Lammens, KN Verrijp, IMP Arts, ...","Skeletal muscle ultrasound: correlation between fibrous tissue and echo intensity",2009,"Ultrasound in medicine & biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6474256490056537283",4,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:9yKSN-GCB0IC",35,3,443,446,359,32.64,51,7,11,""
251,"P Wesseling, DJ Ruiter, PC Burger","Angiogenesis in brain tumors; pathobiological and clinical aspects",1997,"Journal of neuro-oncology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6764942551291633056",5,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:Dip1O2bNi0gC",32,3,253,265,251,10.91,84,3,23,""
191,"R Stienstra, C Duval, S Keshtkar, J van der Laak, S Kersten, M Müller","Peroxisome proliferator-activated receptor γ activation promotes infiltration of alternatively activated macrophages into adipose tissue",2008,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=302886197521883051",6,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:u5HHmVD_uO8C",283,33,22620,22627,191,15.92,32,6,12,""
156,"W Klapper, E Hoster, O Determann, I Oschlies, J van der Laak, F Berger, ...","Ki-67 as a prognostic marker in mantle cell lymphoma—consensus guidelines of the pathology panel of the European MCL Network",2009,"Journal of hematopathology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5379082054459361961",7,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:Tyk-4Ss8FVUC",2,2,103,111,156,14.18,22,7,11,""
130,"JAWM Van der Laak, LMT de Bie, H de Leeuw, PCM de Wilde, ...","The effect of Replens® on vaginal cytology in the treatment of postmenopausal atrophy: cytomorphology versus computerised cytometry",2002,"Journal of clinical pathology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12411790883403777473",8,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:zYLM7Y9cAGgC",55,6,446,451,130,7.22,26,5,18,""
128,"BE Bejnordi, G Litjens, N Timofeeva, I Otte-Höller, A Homeyer, ...","Stain specific standardization of whole-slide histopathological images",2015,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11832967785880346265",9,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:CHSYGLWDkRkC",35,2,404,415,128,25.60,21,6,5,""
121,"P Wesseling, JAWM van der Laak, H de Leeuw, DJ Ruiter, PC Burger","Quantitative immunohistological analysis of the microvasculature in untreated human glioblastoma multiforme: computer-assisted image analysis of whole-tumor sections",1994,"Journal of neurosurgery","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13903252062218051586",10,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:d1gkVwhDpl0C",81,6,902,909,121,4.65,24,5,26,""
120,"JPM Sedelaar, GJLH van Leenders, CA Hulsbergen-van de Kaa, ...","Microvessel density: correlation between contrast ultrasonography and histology of prostate cancer",2001,"European urology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3950867794517957590",11,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:u-x6o8ySG0sC",40,3,285,293,120,6.32,30,4,19,""
117,"H Dijkman, B Smeets, J Van Der Laak, E Steenbergen, J Wetzels","The parietal epithelial cell is crucially involved in human idiopathic focal segmental glomerulosclerosis",2005,"Kidney international","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12322060630500518087",12,"2020-08-12 21:55:26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=suzUVuwAAAAJ&pagesize=100&citation_for_view=suzUVuwAAAAJ:UeHWp8X0CEIC",68,4,1562,1572,117,7.80,23,5,15,""
