Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1270,"WB Meijboom, MFL Meijs, JD Schuijf, MJ Cramer, NR Mollet, ...","Diagnostic accuracy of 64-slice computed tomography coronary angiography: a prospective, multicenter, multivendor study",2008,"Journal of the American College of Cardiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16267086762155160386",1,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:u5HHmVD_uO8C",52,25,2135,2144,1270,105.83,212,6,12,""
806,"RJ van Klaveren, M Oudkerk, M Prokop, ET Scholten, K Nackaerts, ...","Management of lung nodules detected by volume CT scanning",2009,"New England Journal of Medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15662988909956051458,5882284191081055166",2,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:u-x6o8ySG0sC",361,23,2221,2229,806,73.27,134,6,11,""
749,"H MacMahon, DP Naidich, JM Goo, KS Lee, ANC Leung, JR Mayo, ...","Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society 2017",2017,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17861764500224138980",3,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:3MwzVuqRcA0C",284,1,228,243,749,249.67,107,7,3,""
621,"I Sluimer, A Schilham, M Prokop, B Van Ginneken","Computer analysis of computed tomography scans of the lung: a survey",2006,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10943222434899920168",4,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:d1gkVwhDpl0C",25,4,385,405,621,44.36,155,4,14,""
509,"CA Van Iersel, HJ De Koning, G Draisma, WPTM Mali, ET Scholten, ...","Risk‐based selection from the general population in a screening trial: selection criteria, recruitment and power for the Dutch‐Belgian randomised lung cancer multi‐slice CT …",2007,"International Journal of Cancer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13073619141714485817",5,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:9yKSN-GCB0IC",120,4,868,874,509,39.15,85,6,13,""
473,"M Prokop, M Galanski, AJ Van Der Molen","Spiral and multislice computed tomography of the body",2003,"Thieme","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14376944788777475951,4652244669951073364",6,"2020-08-13 14:42:28","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:UeHWp8X0CEIC",,,,,473,27.82,158,3,17,""
390,"I Isgum, M Staring, A Rutten, M Prokop, MA Viergever, B Van Ginneken","Multi-atlas-based segmentation with local decision fusion—application to cardiac and aortic segmentation in CT scans",2009,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13277270236947780741",7,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:YsMSGLbcyi4C",28,7,1000,1010,390,35.45,65,6,11,""
358,"MEJ Callister, DR Baldwin, AR Akram, S Barnard, P Cane, J Draffan, ...","British Thoracic Society guidelines for the investigation and management of pulmonary nodules: accredited by NICE",2015,"Thorax 70 (Suppl 2), ii1-ii","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5995903719006609021,9513137024918241444",8,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:lg2tdxc6qMwC",54,,,,358,71.60,51,7,5,""
338,"DM Xu, H Gietema, H de Koning, R Vernhout, K Nackaerts, M Prokop, ...","Nodule management protocol of the NELSON randomised lung cancer screening trial",2006,"Lung cancer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17608071680673040975",9,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:W7OEmFMy1HYC",54,2,177,184,338,24.14,48,7,14,""
329,"A Weimann, B Ringe, J Klempnauer, P Lamesch, KF Gratz, M Prokop, ...","Benign liver tumors: differential diagnosis and indications for surgery",1997,"World journal of surgery","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6904527068524185015",10,"2020-08-13 14:42:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CS0Fmc8AAAAJ&pagesize=100&citation_for_view=CS0Fmc8AAAAJ:qjMakFHDy7sC",21,9,983,991,329,14.30,47,7,23,""
