Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
373,"N Karssemeijer, GM te Brake","Detection of stellate distortions in mammograms",1996,"IEEE Transactions on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15292609448935173520",1,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:u5HHmVD_uO8C",15,5,611,619,373,15.54,187,2,24,""
337,"N Karssemeijer","Automated classification of parenchymal patterns in mammograms",1998,"Physics in medicine & biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5420073140584548660",2,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:u-x6o8ySG0sC",43,2,365,365,337,15.32,337,1,22,""
250,"S van Engeland, PR Snoeren, H Huisman, C Boetes, N Karssemeijer","Volumetric breast density estimation from full-field digital mammograms",2006,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12818555548460097494",3,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:eQOLeE2rZwMC",25,3,273,282,250,17.86,50,5,14,""
249,"M Kallenberg, K Petersen, M Nielsen, AY Ng, P Diao, C Igel, CM Vachon, ...","Unsupervised deep learning applied to breast density segmentation and mammographic risk scoring",2016,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14584771914130279184",4,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:FiytvqdAVhgC",35,5,1322,1331,249,62.25,31,8,4,""
234,"G Litjens, O Debats, J Barentsz, N Karssemeijer, H Huisman","Computer-aided detection of prostate cancer in MRI",2014,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2908069285137157626",5,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:IUKN3-7HHlwC",33,5,1083,1092,234,39.00,47,5,6,""
222,"JO Barentsz, GJ Jager, PB Van Vierzen, JA Witjes, SP Strijk, H Peters, ...","Staging urinary bladder cancer after transurethral biopsy: value of fast dynamic contrast-enhanced MR imaging.",1996,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10907411171717953315",6,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:d1gkVwhDpl0C",201,1,185,193,222,9.25,32,7,24,""
220,"S Timp, N Karssemeijer","A new 2D segmentation method based on dynamic programming applied to computer aided detection in mammography",2004,"Medical physics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1462730622144634090",7,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:IjCSPb-OGe4C",31,5,958,971,220,13.75,110,2,16,""
213,"R Highnam, M Brady, MJ Yaffe, N Karssemeijer, J Harvey","Robust Breast Composition Measurement - VolparaTM",2010,"International workshop on digital mammography","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14704116998069175892",8,"2020-08-12 21:56:32","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:OU6Ihb5iCvQC",,,342,349,213,21.30,43,5,10,""
203,"N Karssemeijer","Adaptive noise equalization and recognition of microcalcification clusters in mammograms",1993,"International Journal of Pattern Recognition and Artificial Intelligence 7 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16803864324185696158",9,"2020-08-12 21:56:32","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:2osOgNQ5qMEC",,,,,203,7.52,203,1,27,""
197,"SP Wang, D Chin, F Rao","Breast cancer screening with adjunctive ultrasound mammography",2009,"US Patent 7,556,602","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=856720574135856137",10,"2020-08-12 21:56:32","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ca7SqLQAAAAJ&pagesize=100&citation_for_view=ca7SqLQAAAAJ:oNZyr7d5Mn4C",,,,,197,17.91,66,3,11,""
