Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
82,"M Zreik, N Lessmann, RW van Hamersvelt, JM Wolterink, M Voskuil, ...","Deep learning analysis of the myocardium in coronary CT angiography for identification of patients with functionally significant coronary artery stenosis",2018,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17471457195853117922",1,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:zYLM7Y9cAGgC",44,,72,85,82,41.00,14,6,2,""
72,"N Lessmann, B van Ginneken, M Zreik, PA de Jong, BD de Vos, ...","Automatic calcium scoring in low-dose chest CT using deep neural networks with dilated convolutions",2018,"IEEE Transactions on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16774069466764003485",2,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:IjCSPb-OGe4C",37,2,615,625,72,36.00,12,6,2,""
29,"N Lessmann, B van Ginneken, PA de Jong, I Išgum","Iterative fully convolutional neural networks for automatic vertebra segmentation and identification",2019,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1055664958726725388",3,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:Se3iqnhoufwC",53,,142,155,29,29.00,7,4,1,""
25,"N Lessmann, I Isgum, AAA Setio, BD de Vos, F Ciompi, PA de Jong, ...","Deep convolutional neural networks for automatic coronary calcium scoring in a screening study with low-dose chest CT",2016,"SPIE Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11932712040638875797",4,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:9yKSN-GCB0IC",9785,,978511,978511,25,6.25,4,7,4,""
22,"BD de Vos, JM Wolterink, T Leiner, PA de Jong, N Lessmann, I Išgum","Direct automatic coronary calcium scoring in cardiac and chest CT",2019,"IEEE transactions on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=567667602702289391",5,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:roLk4NBRz8UC",38,9,2127,2138,22,22.00,4,6,1,""
21,"N Lessmann, B van Ginneken, I Išgum","Iterative convolutional neural networks for automatic vertebra identification and segmentation in CT images",2018,"Medical Imaging 2018: Image Processing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3970246513012434900",6,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:Y0pCki6q_DkC",10574,,1057408,1057408,21,10.50,7,3,2,""
13,"N Khalili, N Lessmann, E Turk, N Claessens, R de Heus, T Kolk, ...","Automatic brain tissue segmentation in fetal MRI using convolutional neural networks",2019,"Magnetic resonance imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15448749691600249146",7,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:0EnyYjriUFMC",64,,77,89,13,13.00,2,7,1,""
11,"SAM Gernaat, SGM van Velzen, V Koh, MJ Emaus, I Išgum, N Lessmann, ...","Automatic quantification of calcifications in the coronary arteries and thoracic aorta on radiotherapy planning CT scans of Western and Asian breast cancer patients",2018,"Radiotherapy and Oncology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5424555984829806341",8,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:YsMSGLbcyi4C",127,3,487,492,11,5.50,2,7,2,""
10,"SGM van Velzen, N Lessmann, BK Velthuis, IEM Bank, ...","Deep Learning for Automatic Calcium Scoring in CT: Validation Using Multiple Cardiac CT and Chest CT Protocols",2020,"Radiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5150322759857162575",9,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:KlAtU1dfN6UC",295,1,66,79,10,10.00,2,5,1,""
10,"E Pompe, PA de Jong, DA Lynch, N Lessmann, I Išgum, B van Ginneken, ...","Computed tomographic findings in subjects who died from respiratory disease in the National Lung Screening Trial",2017,"European Respiratory Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3304458654067065492",10,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:UeHWp8X0CEIC",49,4,,,10,3.33,1,7,3,""
6,"N Lessmann, PA de Jong, C Celeng, RAP Takx, MA Viergever, ...","Sex differences in coronary artery and thoracic aorta calcification and their association with cardiovascular mortality in heavy smokers",2019,"JACC: Cardiovascular Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13396141710348170095",11,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:LkGwnXOMwfcC",12,9,1808,1817,6,6.00,1,6,1,""
5,"J Šprem, BD de Vos, N Lessmann, RW van Hamersvelt, MJW Greuter, ...","Coronary calcium scoring with partial volume correction in anthropomorphic thorax phantom and screening chest CT images",2018,"PLOS ONE","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11465984298946903868",12,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:_FxGoFyzp5QC",13,12,209318,,5,2.50,1,6,2,""
4,"SGM van Velzen, M Zreik, N Lessmann, MA Viergever, PA de Jong, ...","Direct prediction of cardiovascular mortality from low-dose chest CT using deep learning",2019,"Medical Imaging 2019: Image Processing 10949, 109490X","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5469981335314130164",13,"2020-08-13 17:01:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:eQOLeE2rZwMC",,,,,4,4.00,1,6,1,""
4,"J Šprem, BD de Vos, N Lessmann, PA de Jong, MA Viergever, I Išgum","Impact of automatically detected motion artifacts on coronary calcium scoring in chest computed tomography",2018,"Journal of Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9531323513357792231",14,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:ufrVoPGSRksC",5,4,44007,44007,4,2.00,1,6,2,""
3,"C Celeng, RAP Takx, N Lessmann, P Maurovich-Horvat, T Leiner, I Išgum, ...","The Association Between Marital Status, Coronary Computed Tomography Imaging Biomarkers, and Mortality in a Lung Cancer Screening Population",2019,"Journal of Thoracic Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4280721182705014528",15,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:8k81kl-MbHgC",,,,,3,3.00,0,7,1,""
2,"A Sekuboyina, A Bayat, ME Husseini, M Löffler, M Rempfler, J Kukačka, ...","VerSe: A Vertebrae Labelling and Segmentation Benchmark",2020,"arXiv preprint arXiv:2001.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10142044296480571920",16,"2020-08-13 17:01:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:kNdYIx-mwKoC",9193,,,,2,2.00,0,7,1,""
2,"N Leßmann, D Drömann, A Schlaefer","Feasibility of respiratory motion-compensated stereoscopic X-ray tracking for bronchoscopy",2014,"International Journal of Computer Assisted Radiology and Surgery","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15287604342741685608",17,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:u5HHmVD_uO8C",9,2,199,209,2,0.33,1,3,6,""
1,"N Lessmann, JM Wolterink, M Zreik, MA Viergever, B van Ginneken, ...","Vertebra partitioning with thin-plate spline surfaces steered by a convolutional neural network",2019,"arXiv preprint arXiv:1907.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14928274104806083629",18,"2020-08-13 17:01:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:UebtZRa9Y70C",10978,,,,1,1.00,0,6,1,""
1,"MJ Emaus, I Išgum, SGM van Velzen, HJGD van den Bongard, ...","Bragatston study protocol: a multicentre cohort study on automated quantification of cardiovascular calcifications on radiotherapy planning CT scans for cardiovascular risk …",2019,"BMJ Open","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8229544689128231507",19,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:5nxA0vEk-isC",9,7,28752,,1,1.00,0,5,1,""
1,"BD de Vos, N Lessmann, PA de Jong, MA Viergever, I Isgum","Direct and Real-Time Cardiovascular Risk Prediction",2017,"arXiv preprint arXiv:1712.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=601522994014574322",20,"2020-08-13 17:01:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:Tyk-4Ss8FVUC",2982,,,,1,0.33,0,5,3,""
0,"N Lessmann, CI Sánchez, L Beenen, LH Boulogne, M Brink, E Calli, ...","Automated Assessment of CO-RADS and Chest CT Severity Scores in Patients with Suspected COVID-19 Using Artificial Intelligence",2020,"Radiology","","","https://scholar.google.com",21,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:_kc_bZDykSQC",202439,,,,0,0.00,0,7,1,""
0,"CC van't Klooster, HM Nathoe, J Hjortnaes, ML Bots, I Isgum, N Lessmann, ...","Multifocal cardiovascular calcification in patients with established cardiovascular disease; prevalence, risk factors, and relation with recurrent cardiovascular disease",2020,"IJC Heart & Vasculature","","","https://scholar.google.com",22,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:YOwf2qJgpHMC",27,,100499,100499,0,0.00,0,7,1,""
0,"N Lessmann, B van Ginneken","Random smooth gray value transformations for cross modality learning with gray value invariant networks",2020,"arXiv preprint arXiv:2003.","","","https://scholar.google.com",23,"2020-08-13 17:01:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:ULOm3_A8WrAC",6158,,,,0,0.00,0,2,1,""
0,"M Dekker, F Waissi, IEM Bank, N Lessmann, I Išgum, BK Velthuis, ...","Automated calcium scores collected during myocardial perfusion imaging improve identification of obstructive coronary artery disease",2020,"IJC Heart & Vasculature","","","https://scholar.google.com",24,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:3fE2CSJIrl8C",26,,100434,100434,0,0.00,0,7,1,""
0,"A Schreuder, C Jacobs, N Lessmann, MJM Broeders, M Silva, I Išgum, ...","Combining Quantitative CT Measures of Lung Nodules, Emphysema, Bronchitis, and Cardiovascular Calcifications to Model Disease-Specific Risk in a Lung Cancer Screening Setting",2020,"","","","https://scholar.google.com",25,"2020-08-13 17:01:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:Zph67rFs4hoC",,,,,0,0.00,0,7,1,""
0,"CC Van'T Klooster, HM Nathoe, T Leiner, J Hjortnaes, ML Bots, I Isgum, ...","P3411 Prevalence and risk factors of multifocal cardiovascular calcification in patients at high cardiovascular risk",2019,"European Heart Journal 40 (Supplement_1), ehz745.","","","https://scholar.google.com",26,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:MXK_kJrjxJIC",285,,,,0,0.00,0,7,1,""
0,"N Lessmann","Machine learning based quantification of extrapulmonary diseases in chest CT",2019,"Utrecht University","","","https://scholar.google.com",27,"2020-08-13 17:01:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:hqOjcs7Dif8C",,,,,0,0.00,0,1,1,""
0,"A Schreuder, C Jacobs, N Lessmann, E Scholten, I Isgum, M Prokop, ...","MA20.09 Improved Lung Cancer and Mortality Prediction Accuracy Using Survival Models Based on Semi-Automatic CT Image Measurements",2018,"Journal of Thoracic Oncology 13 (10), S","","","https://scholar.google.com",28,"2020-08-13 17:01:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BBieKT4AAAAJ&pagesize=100&citation_for_view=BBieKT4AAAAJ:WF5omc3nYNoC",428,,,,0,0.00,0,7,2,""
