,bibkey,type,title,authors,ss_id,all_ss_ids,comment,year
3,Abel19,article,"Computational pathology definitions, best practices, and recommendations for regulatory guidance: a white paper from the Digital Pathology Association","Abels, Esther and Pantanowitz, Liron and Aeffner, Famke and Zarella, Mark D and van der Laak, Jeroen and Bui, Marilyn M and Vemuri, Venkata Np and Parwani, Anil V and Gibbs, Jeff and Agosto-Arroyo, Emmanuel and Beck, Andrew H and Kozlowski, Cleopatra",,,,2019.0
19,Amga20,article,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group,Mohamed Amgad and and Elisabeth Specht Stovgaard and Eva Balslev and Jeppe Thagaard and Weijie Chen and Sarah Dudgeon and Ashish Sharma and Jennifer K. Kerner and Carsten Denkert and Yinyin Yuan and Khalid AbdulJabbar and Stephan Wienert and Peter Savas and Leonie Voorwerk and Andrew H. Beck and Anant Madabhushi and Johan Hartman and Manu M. Sebastian and Hugo M. Horlings and Jan Hude{\v{c}}ek and Francesco Ciompi and David A. Moore and Rajendra Singh and Elvire Roblin and Marcelo Luiz Balancin and Marie-Christine Mathieu and Jochen K. Lennerz and Pawan Kirtani and I-Chun Chen and Jeremy P. Braybrooke and Giancarlo Pruneri and Sandra Demaria and Sylvia Adams and Stuart J. Schnitt and Sunil R. Lakhani and Federico Rojo and Laura Comerma and Sunil S. Badve and Mehrnoush Khojasteh and W. Fraser Symmans and Christos Sotiriou and Paula Gonzalez-Ericsson and Katherine L. Pogue-Geile and Rim S. Kim and David L. Rimm and Giuseppe Viale and Stephen M. Hewitt and John M. S. Bartlett and Fr{\'{e}}d{\'{e}}rique Penault-Llorca and Shom Goel and Huang-Chun Lien and Sibylle Loibl and Zuzana Kos and Sherene Loi and Matthew G. Hanna and Stefan Michiels and Marleen Kok and Torsten O. Nielsen and Alexander J. Lazar and Zsuzsanna Bago-Horvath and Loes F. S. Kooreman and Jeroen A. W. M. van der Laak and Joel Saltz and Brandon D. Gallas and Uday Kurkure and Michael Barnes and Roberto Salgado and Lee A. D. Cooper,b4c4c3dc91d42114023b0575c3e2273b87446ff7,"['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7']","title matching: single bibkey with multiple_ss_ids (['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7']), took the first one with most citations",2020.0
21,Anto21,article,The Medical Segmentation Decathlon,Michela Antonelli and Annika Reinke and Spyridon Bakas and Keyvan Farahani and AnnetteKopp-Schneider and Bennett A. Landman and Geert Litjens and Bjoern Menze and Olaf Ronneberger and Ronald M. Summers and Bram van Ginneken and Michel Bilello and Patrick Bilic and Patrick F. Christ and Richard K. G. Do and Marc J. Gollub and Stephan H. Heckers and Henkjan Huisman and William R. Jarnagin and Maureen K. McHugo and Sandy Napel and Jennifer S. Goli Pernicka and Kawal Rhode and Catalina Tobon-Gomez and Eugene Vorontsov and Henkjan Huisman and James A. Meakin and Sebastien Ourselin and Manuel Wiesenfarth and Pablo Arbelaez and Byeonguk Bae and Sihong Chen and Laura Daza and Jianjiang Feng and Baochun He and Fabian Isensee and Yuanfeng Ji and Fucang Jia and Namkug Kim and Ildoo Kim and Dorit Merhof and Akshay Pai and Beomhee Park and Mathias Perslev and Ramin Rezaiifar and Oliver Rippel and Ignacio Sarasua and Wei Shen and Jaemin Son and Christian Wachinger and Liansheng Wang and Yan Wang and Yingda Xia and Daguang Xu and Zhanwei Xu and Yefeng Zheng and Amber L. Simpson and Lena Maier-Hein and M. Jorge Cardoso,,,,2021.0
22,Anto22,article,The {Medical} {Segmentation} {Decathlon,"Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A. and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M. and van Ginneken, Bram and Bilello, Michel and Bilic, Patrick and Christ, Patrick F. and Do, Richard K. G. and Gollub, Marc J. and Heckers, Stephan H. and Huisman, Henkjan and Jarnagin, William R. and McHugo, Maureen K. and Napel, Sandy and Pernicka, Jennifer S. Golia and Rhode, Kawal and Tobon-Gomez, Catalina and Vorontsov, Eugene and Meakin, James A. and Ourselin, Sebastien and Wiesenfarth, Manuel and Arbelaez, Pablo and Bae, Byeonguk and Chen, Sihong and Daza, Laura and Feng, Jianjiang and He, Baochun and Isensee, Fabian and Ji, Yuanfeng and Jia, Fucang and Kim, Ildoo and Maier-Hein, Klaus and Merhof, Dorit and Pai, Akshay and Park, Beomhee and Perslev, Mathias and Rezaiifar, Ramin and Rippel, Oliver and Sarasua, Ignacio and Shen, Wei and Son, Jaemin and Wachinger, Christian and Wang, Liansheng and Wang, Yan and Xia, Yingda and Xu, Daguang and Xu, Zhanwei and Zheng, Yefeng and Simpson, Amber L. and Maier-Hein, Lena and Cardoso, M. Jorge",979a9f247700d00ff2c3f0612d5eb001379f93c8,"['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26']","multiple doi matches ['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26'], took the first one with most citations",2022.0
26,Ares18,article,iW-Net}: an automatic and minimalistic interactive lung nodule segmentation deep network,Guilherme Aresta and Colin Jacobs and Teresa Ara\'{u}jo and A. Cunha and Isabel Ramos and Bram van Ginneken and A. Campilho,,,,2018.0
29,Argu19,article,Function Follows Form: Regression from Complete Thoracic Computed Tomography Scans,"Argus, Max and Schaefer-Prokop, Cornelia and Lynch, David A. and van Ginneken, Bram",6425e3f4c37f8deb9e8dc933e34d49aa843635b9,"['6425e3f4c37f8deb9e8dc933e34d49aa843635b9', 'cc7605f2b7e61723f12839fabc1066da0cc8744b']","title matching: single bibkey with multiple_ss_ids (['6425e3f4c37f8deb9e8dc933e34d49aa843635b9', 'cc7605f2b7e61723f12839fabc1066da0cc8744b']), took the first one with most citations",2019.0
55,Balk19,article,Deep learning and manual assessment show that the absolute mitotic count does not contain prognostic information in triple negative breast cancer,"Balkenhol, Maschenka C A and Bult, Peter and Tellez, David and Vreuls, Willem and Clahsen, Pieter C and Ciompi, Francesco and van der Laak, Jeroen A W M",94962ef85aca6df5c8289874b56bcaa8722dc596,"['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596']","title matching: single bibkey with multiple_ss_ids (['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596']), took the first one with most citations",2019.0
65,Balt19b,article,Optimization of the difference-of-Gaussian channel sets for the channelized Hotelling observer,"Balta, Christiana and Bouwman, Ramona W and Broeders, Mireille JM and Karssemeijer, Nico and Veldkamp, Wouter JH and Sechopoulos, Ioannis and van Engen, Ruben E",f131ef217543d179269018950bf3b6ba2b30f3b1,"['20fe29e553477d9bd330f052e4d01c0c1c616b22', 'f131ef217543d179269018950bf3b6ba2b30f3b1']","title matching: single bibkey with multiple_ss_ids (['20fe29e553477d9bd330f052e4d01c0c1c616b22', 'f131ef217543d179269018950bf3b6ba2b30f3b1']), took the first one with most citations",2019.0
70,Band23,article,Continual learning strategies for cancer-independent detection of lymph node metastases,"B\'{a}ndi, P. and Balkenhol, Maschenka and van Dijk, Marcory and Kok, Michel and van Ginneken, Bram and van der Laak, Jeroen and Litjens, Geert",bc6b483f9b1fa630fa4b43158b13716f1ca7497b,"['4bcd672218ecec70473c84f6f1cc52c64031f3e5', 'bc6b483f9b1fa630fa4b43158b13716f1ca7497b']","title matching: single bibkey with multiple_ss_ids (['4bcd672218ecec70473c84f6f1cc52c64031f3e5', 'bc6b483f9b1fa630fa4b43158b13716f1ca7497b']), took the first one with most citations",2023.0
93,Bili19,article,The {L}iver {T}umor {S}egmentation {B}enchmark ({L}i{TS}),"Patrick Bilic and Patrick Ferdinand Christ and Eugene Vorontsov and Grzegorz Chlebus and Hao Chen and Qi Dou and Chi-Wing Fu and Xiao Han and Pheng-Ann Heng and Jurgen Hesser and Samuel Kadoury and Tomasz Konopczynski and Miao Le and Chunming Li and Xiaomeng Li and Jana Lipkova and John Lowengrub and Hans Meine and Jan Hendrik Moltz and Chris Pal and Marie Piraud and Xiaojuan Qi and Jin Qi and Markus Rempfler and Karsten Roth and Andrea Schenk and Anjany Sekuboyina and Eugene Vorontsov and Ping Zhou and Christian Hulsemeyer and Marcel Beetz and Florian Ettlinger and Felix Gruen and Georgios Kaissis and Fabian Lohofer and Rickmer Braren and Julian Holch and Felix Hofmann and Wieland Sommer and Volker Heinemann and Colin Jacobs and Humpire Mamani, Gabriel Efrain and Bram van Ginneken and Gabriel Chartrand and An Tang and Michal Drozdzal and Avi Ben-Cohen and Eyal Klang and Marianne M. Amitai and Eli Konen and Hayit Greenspan and Johan Moreau and Alexandre Hostettler and Luc Soler and Refael Vivanti and Adi Szeskin and Naama Lev-Cohain and Jacob Sosna and Leo Joskowicz and Bjoern H. Menze",,,,2019.0
110,Bokh19b,article,Assessment of individual tumor buds using keratin immunohistochemistry: moderate interobserver agreement suggests a role for machine learning,"Bokhorst, John-Melle and Blank, A. and Lugli, A. and Zlobec, I. and Dawson, H. and Vieth, M. and Rijstenberg, L. L. and Brockmoeller, S. and Urbanowicz, M. and Flejou, J. F. and Kirsch, R. and Ciompi, F. and van der Laak, J. A. W. M. and Nagtegaal, I. D.",c3e98e4b01c27affe1b6c161172c5e27e8141618,"['aff9f3cd8024fb64c7ea36d396a36ebf33d01f5b', 'c3e98e4b01c27affe1b6c161172c5e27e8141618']","title matching: single bibkey with multiple_ss_ids (['aff9f3cd8024fb64c7ea36d396a36ebf33d01f5b', 'c3e98e4b01c27affe1b6c161172c5e27e8141618']), took the first one with most citations",2019.0
171,Bult19,article,Epithelium segmentation using deep learning in H\&E-stained prostate specimens with immunohistochemistry as reference standard,Wouter Bulten and P\'{e}ter B\'{a}ndi and Jeffrey Hoven and Rob {van de Loo} and Johannes Lotz and Nick Weiss and Jeroen {van der Laak} and Bram {van Ginneken} and Christina {Hulsbergen-van de Kaa} and Geert Litjens,d5b8fba71671814445de80d36a2d563f43eb9d07,"['b0cc9473a96dcd45dd1c7de2d7d217c2a453a850', 'd5b8fba71671814445de80d36a2d563f43eb9d07']","title matching: single bibkey with multiple_ss_ids (['b0cc9473a96dcd45dd1c7de2d7d217c2a453a850', 'd5b8fba71671814445de80d36a2d563f43eb9d07']), took the first one with most citations",2019.0
177,Busc16,article,Risk factors for COPD exacerbations in inhaled medication users: the COPDGene study biannual longitudinal follow-up prospective cohort,"Busch, Robert and Han, MeiLan K and Bowler, Russell P and Dransfield, Mark T and Wells, J Michael and Regan, Elizabeth A and Hersh, Craig P and {COPDGene Investigators",,,,2016.0
197,Char18,article,Automatic segmentation of the solid core and enclosed vessels in subsolid pulmonary nodules,"Charbonnier, Jean-Paul and Chung, Kaman and Scholten, Ernst T and van Rikxoort, Eva M and Jacobs, Colin and Sverzellati, Nicola and Silva, Mario and Pastorino, Ugo and van Ginneken, Bram and Ciompi, Francesco",3ed451d2830a2afcbbd254f0015eeafa796ba1b7,"['3ed451d2830a2afcbbd254f0015eeafa796ba1b7', '4fd1ad386d794e9baff286b212013b3b44bb7bd3']","title matching: single bibkey with multiple_ss_ids (['3ed451d2830a2afcbbd254f0015eeafa796ba1b7', '4fd1ad386d794e9baff286b212013b3b44bb7bd3']), took the first one with most citations",2018.0
200,Chle18,article,Automatic liver tumor segmentation in {CT} with fully convolutional neural networks and object-based postprocessing,"Chlebus, Grzegorz and Schenk, Andrea and Moltz, Jan Hendrik and van Ginneken, Bram and Hahn, Horst Karl and Meine, Hans",27cebb08aca785444166209593fc0ec740469b1b,"['27cebb08aca785444166209593fc0ec740469b1b', '96438076b4dfa87956f55c0d8cef9c198de2beb7']","title matching: single bibkey with multiple_ss_ids (['27cebb08aca785444166209593fc0ec740469b1b', '96438076b4dfa87956f55c0d8cef9c198de2beb7']), took the first one with most citations",2018.0
232,Ciom17a,article,Towards automatic pulmonary nodule management in lung cancer screening with deep learning,F. Ciompi and K. Chung and S. J. van Riel and A. A. A. Setio and P. K. Gerke and C. Jacobs and E. Th. Scholten and C. M. Schaefer-Prokop and M. M. W. Wille and A. Marchiano and U. Pastorino and M. Prokop and B. van Ginneken,fd0901b1f2121506391a7859de8fb695d159a393,"['86b9d39fb026746752f95f87f87fd26b8512c913', 'fd0901b1f2121506391a7859de8fb695d159a393']","title matching: single bibkey with multiple_ss_ids (['86b9d39fb026746752f95f87f87fd26b8512c913', 'fd0901b1f2121506391a7859de8fb695d159a393']), took the first one with most citations",2017.0
246,Dama22,article,A Comparison Between Single- and Multi-Scale Approaches for Classification of Histopathology Images,Marina D'Amato and Przemys{\l}aw Szostak and Benjamin Torben-Nielsen,,,,2022.0
292,Emau15,article,MR} Imaging as an Additional Screening Modality for the Detection of Breast Cancer in Women Aged 50-75 Years with Extremely Dense Breasts: The {DENSE} Trial Study Design,"Emaus, Marleen J. and Bakker, Marije F. and Peeters, Petra H M. and Loo, Claudette E. and Mann, Ritse M. and {de Jong}, Mathijn D F. and Bisschops, Robertus H C. and Veltman, Jeroen and Duvivier, Katya M. and Lobbes, Marc B I. and Pijnappel, Ruud M. and Karssemeijer, Nico and {de Koning}, Harry J. and {van den Bosch}, Maurice A A J. and Monninkhof, Evelyn M. and Mali, Willem P Th M. and Veldhuis, Wouter B. and {van Gils}, Carla H.",fb1084b454e9b6f203c860e6f89ca4389cd1a8e9,"['fb1084b454e9b6f203c860e6f89ca4389cd1a8e9', 'fc7b70a4d154e3d2dfabe4393809dfb29cc36a7a']","title matching: single bibkey with multiple_ss_ids (['fb1084b454e9b6f203c860e6f89ca4389cd1a8e9', 'fc7b70a4d154e3d2dfabe4393809dfb29cc36a7a']), took the first one with most citations",2015.0
310,Fary20a,inproceedings,Attention-guided classification of abnormalities in semi-structured computed tomography reports,Khrystyna Faryna and Fakrul I. Tushar and Vincent M. D'Anniballe and Rui Hou and Geoffrey D. Rubin and Joseph Y. Lo,,,,2020.0
341,Gall17,article,Computed tomography quantification of tracheal abnormalities in {COPD} and their influence on airflow limitation,"Gallardo Estrella, Leticia and Pompe, Esther and Kuhnigk, Jan-Martin and Lynch, David A and Bhatt, Surya P and van Ginneken, Bram and van Rikxoort, Eva Marjolein",e15e0cd21632aa9d6643b314a4d1d1a6580f2b39,"['d1e0a041fc417d82c584191ecf5b3b536127d9e0', 'e15e0cd21632aa9d6643b314a4d1d1a6580f2b39']","title matching: single bibkey with multiple_ss_ids (['d1e0a041fc417d82c584191ecf5b3b536127d9e0', 'e15e0cd21632aa9d6643b314a4d1d1a6580f2b39']), took the first one with most citations",2017.0
349,Garc15,inproceedings,Comparing regional breast density using {F}ull-{F}ield {D}igital {M}ammograms and {M}agnetic {R}esonance {I}maging: A preliminary study,"Garcia, E. and Oliver, A. and Diez, Y. and Diaz O. and Georgii, J. and Gubern-M\'{e}rida, A. and Mart\'{i}, J. and Mart\'{i}, R.",,,,2015.0
350,Garc16,inproceedings,Comparison of Four Breast Tissue Segmentation Algorithms for Multi-modal MRI to X-ray Mammography Registration,"Garc\'{i}a, E. and Oliver, A. and Diez, Y. and Diaz, O. and Gubern-M\'{e}rida, A. and Llad\'{o}, X. and Mart\'{i}, J.",,,,2016.0
