ss_id,ss_title,max_bibkey,max_bib_title,max_ratio,up80_bibkeys,up80_bib_titles,up80_ratios
979a9f247700d00ff2c3f0612d5eb001379f93c8,The Medical Segmentation Decathlon,Anto21,The Medical Segmentation Decathlon,1.0,"['Anto21', 'Anto22']","['The Medical Segmentation Decathlon', 'The Medical Segmentation Decathlon']","[1.0, 1.0]"
c397c6f1480ac8e3ed875adad96e9b3e00c37f26,The Medical Segmentation Decathlon,Anto21,The Medical Segmentation Decathlon,1.0,"['Anto21', 'Anto22']","['The Medical Segmentation Decathlon', 'The Medical Segmentation Decathlon']","[1.0, 1.0]"
b3dc561dd990cebc626e10318b8582a198aa3571,iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network,Ares18,iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network,1.0,"['Ares18', 'Ares19']","['iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network', 'iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network']","[1.0, 1.0]"
0655dcaa39cf41a3609974840f91300d73b4aed1,The Liver Tumor Segmentation Benchmark (LiTS),Bili19,The Liver Tumor Segmentation Benchmark (LiTS),1.0,"['Bili19', 'Bili22']","['The Liver Tumor Segmentation Benchmark (LiTS)', 'The Liver Tumor Segmentation Benchmark (LiTS)']","[1.0, 1.0]"
4992f23e29e711eec8b92e17ce35610da3758ecd,Interactive 3D U-net for the segmentation of the pancreas in computed tomography scans,Boer20,Interactive 3D U-net for the Segmentation of the Pancreas in Computed Tomography Scans,1.0,"['Boer19', 'Boer20']","['Interactive Residual 3D U-net for the Segmentation of the Pancreas in Computed Tomography Scans', 'Interactive 3D U-net for the Segmentation of the Pancreas in Computed Tomography Scans']","[0.9502762430939227, 1.0]"
671d9c99335001133ebf2125167aa2f2bcee6efa,Automatic detection of spiculation of pulmonary nodules in computed tomography images,Ciom15,Automatic detection of spiculation of pulmonary nodules in Computed Tomography images,1.0,"['Ciom15', 'Jaco14']","['Automatic detection of spiculation of pulmonary nodules in Computed Tomography images', 'Automatic Detection of Subsolid Pulmonary Nodules in Thoracic Computed Tomography Images']","[1.0, 0.8439306358381503]"
de1fc90d61276094416b430605d47ee5f8cc7b4d,Computer-Aided Detection of Intracoronary Stent Location and Extension in Intravascular Ultrasound Sequences,Ciom16a,Computer-aided detection of intracoronary stent in intravascular ultrasound sequences,0.8808290155440415,"['Balo18', 'Ciom16a']","['Assessment Of Intra-coronary Stent Location And Extension In Intravascular Ultrasound Sequences', 'Computer-aided detection of intracoronary stent in intravascular ultrasound sequences']","[0.8472906403940886, 0.8808290155440415]"
663b19914b7fe99a2c3cc1641ba8d47109d63db2,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,Deba19,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,1.0,"['Deba19', 'Seti16']","['Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks', 'Pulmonary nodule detection in CT images: false positive reduction using multi-view convolutional networks']","[1.0, 0.8202764976958525]"
44cb242be984781ad380e9f785157c13384d0026,Iterative Augmentation of Visual Evidence for Weakly-Supervised Lesion Localization in Deep Interpretability Frameworks: Application to Color Fundus Images,Gonz20,Iterative augmentation of visual evidence for weakly-supervised lesion localization in deep interpretability frameworks: application to color fundus images,1.0,"['Gonz19b', 'Gonz20']","['Iterative augmentation of visual evidence for weakly-supervised lesion localization in deep interpretability frameworks', 'Iterative augmentation of visual evidence for weakly-supervised lesion localization in deep interpretability frameworks: application to color fundus images']","[0.8686131386861314, 1.0]"
fa59a6c087ec8b88c3828a95de5e0662cd2eee7e,Deep Learning-Based Histopathologic Assessment of Kidney Tissue.,Herm19,Deep-learning based histopathologic assessment of kidney tissue,0.9606299212598424,"['Herm19', 'Herm19a']","['Deep-learning based histopathologic assessment of kidney tissue', 'Deep learning-based histopathological assessment of renal tissue']","[0.9606299212598425, 0.90625]"
1427f469d6fb172d200d6f25837cbeaddad425e5,Automated measurement of fetal head circumference using 2D ultrasound images,Heuv18a,Automated measurement of fetal head circumference using 2D ultrasound images,1.0,"['Heuv17d', 'Heuv18a']","['Automated Measurement of Fetal Head Circumference in Ultrasound Images', 'Automated measurement of fetal head circumference using 2D ultrasound images']","[0.958904109589041, 1.0]"
704081db7542b73bbdcefe9ae7e7dc19fe4316c0,Automatic detection of subsolid pulmonary nodules in thoracic computed tomography images,Jaco14,Automatic Detection of Subsolid Pulmonary Nodules in Thoracic Computed Tomography Images,1.0,"['Ciom15', 'Jaco14', 'Seti14']","['Automatic detection of spiculation of pulmonary nodules in Computed Tomography images', 'Automatic Detection of Subsolid Pulmonary Nodules in Thoracic Computed Tomography Images', 'Automatic Detection of Large Pulmonary Nodules in Thoracic CT Images']","[0.8554913294797688, 1.0, 0.8205128205128205]"
2cbfeefc3025a11beced3681bd0b358d44d4c0a8,ESR/ERS statement paper on lung cancer screening,Kauc20,ESR/ERS statement paper on lung cancer screening,1.0,"['Kauc20', 'Kauc20a']","['ESR/ERS statement paper on lung cancer screening', 'ESR/ERS statement paper on lung cancer screening']","[1.0, 1.0]"
93d384fea8e9acd340445c227ed226e1642bed49,ESR/ERS statement paper on lung cancer screening,Kauc20,ESR/ERS statement paper on lung cancer screening,1.0,"['Kauc20', 'Kauc20a']","['ESR/ERS statement paper on lung cancer screening', 'ESR/ERS statement paper on lung cancer screening']","[1.0, 1.0]"
04507020e4e003042150dcc8602505d1bec71c49,GANs for Medical Image Analysis,Kaze18,GANs for Medical Image Analysis,1.0,"['Kaze18', 'Kaze20']","['GANs for Medical Image Analysis', 'GANs for Medical Image Analysis']","[1.0, 1.0]"
63c432e76128b36d5943eb116a38f98a9bb9ae27,Stacked Bidirectional Convolutional LSTMs for 3D Non-contrast CT Reconstruction from Spatiotemporal 4D CT,Leem18b,Stacked Bidirectional Convolutional LSTMs for 3D Non-contrast CT Reconstruction from Spatiotemporal 4D CT,1.0,"['Leem18b', 'Leem20']","['Stacked Bidirectional Convolutional LSTMs for 3D Non-contrast CT Reconstruction from Spatiotemporal 4D CT', 'Stacked Bidirectional Convolutional LSTMs for Deriving 3D Non-contrast CT from Spatiotemporal 4D CT']","[1.0, 0.8823529411764706]"
e03d4a9c11a70f4ec009ea81d141742b40b20789,Multiclass Brain Tissue Segmentation in 4D CT Using Convolutional Neural Networks,Leem19,Multiclass Brain Tissue Segmentation in 4D CT using Convolutional Neural Networks,1.0,"['Khal19', 'Leem19']","['Automatic brain tissue segmentation in fetal MRI using convolutional neural networks', 'Multiclass Brain Tissue Segmentation in 4D CT using Convolutional Neural Networks']","[0.8606060606060606, 1.0]"
9f7129d07d92e91ecf42dd33ef05d83514303003,Stacked Bidirectional Convolutional LSTMs for Deriving 3D Non-Contrast CT From Spatiotemporal 4D CT,Leem20,Stacked Bidirectional Convolutional LSTMs for Deriving 3D Non-contrast CT from Spatiotemporal 4D CT,1.0,"['Leem18b', 'Leem20']","['Stacked Bidirectional Convolutional LSTMs for 3D Non-contrast CT Reconstruction from Spatiotemporal 4D CT', 'Stacked Bidirectional Convolutional LSTMs for Deriving 3D Non-contrast CT from Spatiotemporal 4D CT']","[0.8823529411764706, 1.0]"
77ca4f86eaef55fb7c853dad2fd3600a3eb5b169,Iterative fully convolutional neural networks for automatic vertebra segmentation and identification,Less19a,Iterative fully convolutional neural networks for automatic vertebra segmentation and identification,1.0,"['Less18a', 'Less19a']","['Iterative fully convolutional neural networks for automatic vertebra segmentation', 'Iterative fully convolutional neural networks for automatic vertebra segmentation and identification']","[0.8950276243093923, 1.0]"
4d54536ebf1b355d02cdfe742553032666101dbd,A deep learning model for segmentation of geographic atrophy to study its long-term natural history,Lief19b,A deep learning model for segmentation of geographic atrophy to study its long-term natural history,1.0,"['Lief19b', 'Lief20']","['A deep learning model for segmentation of geographic atrophy to study its long-term natural history', 'A deep learning model for segmentation of geographic atrophy to study its long-term natural history']","[1.0, 1.0]"
