bibkey,type,title,authors,ss_id,all_ss_ids,comment
Abas05,article,Analysis of regularity in the {EEG} background activity of {A}lzheimer's disease patients with {A}pproximate {E}ntropy,D. Ab\'{a}solo and R. Hornero and P. Espino and J. Poza and C. I. S\'{a}nchez and R. de la Rosa,,,
Genu22,conference,Imaging tumor-infiltrating CD8 (+) T-cells in non-small cell lung cancer patients upon neo-adjuvant treatment with durvalumab,E. A. J. van Genugten and B. Piet and G. Schreibelt and T. van Oorschot and G. van den Heuvel and F. Ciompi and C. Jacobs and J. de Vries and M. M. van den Heuvel and E. Aarntzen,,,
Abas05a,inproceedings,EEG} background activity analysis in {A}lzheimer's disease patients with sample entropy,D. Ab\'{a}solo and C. G\'{o}mez and J. Poza and M. Garc\'{i}a and C. I. S\'{a}nchez and M. L\'{o}pez,,,
Abel19,article,"Computational pathology definitions, best practices, and recommendations for regulatory guidance: a white paper from the Digital Pathology Association","Abels, Esther and Pantanowitz, Liron and Aeffner, Famke and Zarella, Mark D and van der Laak, Jeroen and Bui, Marilyn M and Vemuri, Venkata Np and Parwani, Anil V and Gibbs, Jeff and Agosto-Arroyo, Emmanuel and Beck, Andrew H and Kozlowski, Cleopatra",,,
Abra08a,article,Evaluation of a system for automatic detection of diabetic retinopathy from color fundus photographs in a large population of patients with diabetes,M. D. Abr\`amoff and M. Niemeijer and M. S. A. Suttorp-Schulten and M. A. Viergever and S. R. Russell and B. van Ginneken,0445a1a0aa30c9ca41a8ab31463d617b849a0814,,"title matching: single bibkey, single ss_id"
Adri09,article,Fatty foci in the myocardium in patients with tuberous sclerosis complex: common finding at {CT,Miraude E A P M Adriaensen and Cornelia M Schaefer-Prokop and Debbie A C Duyndam and Bernard A Zonnenberg and M. Prokop,,,
Adri09a,article,Prevalence of subependymal giant cell tumors in patients with tuberous sclerosis and a review of the literature,M. E A P M Adriaensen and C. M. Schaefer-Prokop and T. Stijnen and D. A C Duyndam and B. A. Zonnenberg and M. Prokop,,,
Adri10,article,Echocardiographic screening results in patients with tuberous sclerosis complex,Miraude E A P M Adriaensen and Maarten J M Cramer and Madelon E E Brouha and Cornelia M Schaefer-Prokop and Mathias Prokop and Pieter A F M Doevendans and Bernard A Zonnenberg and Harm H H Feringa,3da4ab4d50211eb7a0148c4ed74729b2d4e30ba9,,"title matching: single bibkey, single ss_id"
Adri11,article,Radiological evidence of lymphangioleiomyomatosis in female and male patients with tuberous sclerosis complex,M. E A P M Adriaensen and C. M. Schaefer-Prokop and D. A C Duyndam and B. A. Zonnenberg and M. Prokop,691c90e68eab1dcae5861fba0eab73ba626e6777,,"title matching: single bibkey, single ss_id"
Adri11a,phdthesis,Imaging in tuberous sclerosis complex,M. E. A. P. M. Adriaensen,,,
Adri11b,article,Mature fat cells in the myocardium of patients with tuberous sclerosis complex,Miraude E A P M Adriaensen and Matthijs F M van Oosterhout and Harm H H Feringa and Cornelia M Schaefer-Prokop and Bernard A Zonnenberg and Mathias Prokop,c738da78dc1fb336a8dff5a8047059d52a6de939,,"title matching: single bibkey, single ss_id"
Adri11c,article,Focal fatty areas in the myocardium of patients with tuberous sclerosis complex: a unique finding,Miraude E A P M Adriaensen and Harm H H Feringa and Cornelia M Schaefer-Prokop and Sandra A P Cornelissen and Bernard A Zonnenberg and Mathias Prokop,9fabf1bc1c126702a051ec56474af2d1518ad0ba,,single doi match
Albe11,inproceedings,Automatic branching detection in IVUS sequences,"Alberti, Marina and Gatta, Carlo and Balocco, Simone and Ciompi, Francesco and Pujol, Oriol and Silva, Joana and Carrillo, Xavier and Radeva, Petia",,,
Albe12,article,Automatic bifurcation detection in coronary IVUS sequences,"Alberti, Marina and Balocco, Simone and Gatta, Carlo and Ciompi, Francesco and Pujol, Oriol and Silva, Joana and Carrillo, Xavier and Radeva, Petia",,,
Alee18,mastersthesis,Malignancy estimation of Pulmonary Nodules using Multi-View Multi-Time Point Convolutional Neural Networks,Tajwar Abrar Ableef,,,
Altu20,inproceedings,Feasibility of End-To-End Trainable Two-Stage U-Net for Detection of Axillary Lymph Nodes in Contrast-Enhanced CT Based Scans on Sparse Annotations,"Altun, Hidir Cem and Chlebus, Grzegorz and Jacobs, Colin and Meine, Hans and van Ginneken, Bram and Hahn, Horst K.",90a870cbb9897124193ba18c5358fe45b6260621,,"title matching: single bibkey, single ss_id"
Alves21a,conference,CT-based Deep Learning Towards Early Detection Of Pancreatic Ductal Adenocarcinoma,"Alves, Nat\'{a}lia and Hermans, John and Huisman, Henkjan",,,
Alves22a,article,Fully Automatic Deep Learning Framework for Pancreatic Ductal Adenocarcinoma Detection on Computed Tomography,"Alves, Nat\'{a}lia and Schuurmans, Megan and Litjens, Geke and Bosma, Joeran and Hermans, John and Huisman, Henkjan",3a84e2a533df9a1351f7442735c961bc80b5892e,,"title matching: single bibkey, single ss_id"
Alves22b,conference,Towards Safe Clinical Use of Artificial Intelligence for Cancer Detection Through Uncertainty Quantification,"Alves, Nat\'{a}lia and Bosma, Joeran and Huisman, Henkjan",,,
Amga20,article,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group,Mohamed Amgad and and Elisabeth Specht Stovgaard and Eva Balslev and Jeppe Thagaard and Weijie Chen and Sarah Dudgeon and Ashish Sharma and Jennifer K. Kerner and Carsten Denkert and Yinyin Yuan and Khalid AbdulJabbar and Stephan Wienert and Peter Savas and Leonie Voorwerk and Andrew H. Beck and Anant Madabhushi and Johan Hartman and Manu M. Sebastian and Hugo M. Horlings and Jan Hude{\v{c}}ek and Francesco Ciompi and David A. Moore and Rajendra Singh and Elvire Roblin and Marcelo Luiz Balancin and Marie-Christine Mathieu and Jochen K. Lennerz and Pawan Kirtani and I-Chun Chen and Jeremy P. Braybrooke and Giancarlo Pruneri and Sandra Demaria and Sylvia Adams and Stuart J. Schnitt and Sunil R. Lakhani and Federico Rojo and Laura Comerma and Sunil S. Badve and Mehrnoush Khojasteh and W. Fraser Symmans and Christos Sotiriou and Paula Gonzalez-Ericsson and Katherine L. Pogue-Geile and Rim S. Kim and David L. Rimm and Giuseppe Viale and Stephen M. Hewitt and John M. S. Bartlett and Fr{\'{e}}d{\'{e}}rique Penault-Llorca and Shom Goel and Huang-Chun Lien and Sibylle Loibl and Zuzana Kos and Sherene Loi and Matthew G. Hanna and Stefan Michiels and Marleen Kok and Torsten O. Nielsen and Alexander J. Lazar and Zsuzsanna Bago-Horvath and Loes F. S. Kooreman and Jeroen A. W. M. van der Laak and Joel Saltz and Brandon D. Gallas and Uday Kurkure and Michael Barnes and Roberto Salgado and Lee A. D. Cooper,b4c4c3dc91d42114023b0575c3e2273b87446ff7,"['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7']","title matching: single bibkey with multiple_ss_ids (['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7']), took the first one with most citations"
Amin11,conference,Air trapping on {HRCT} assessed by quantitative image analysis as an early predictor of bronchiolitis obliterans syndrome in lung transplant recipients,S. Amin and J.G. Goldin and M.R. Zeidler and E. Kleerup and P. Lu and M. Galperin-Aizenberg and E. M. van Rikxoort and D. Gjertson and D. Ross,,,
Anto21,article,The Medical Segmentation Decathlon,Michela Antonelli and Annika Reinke and Spyridon Bakas and Keyvan Farahani and AnnetteKopp-Schneider and Bennett A. Landman and Geert Litjens and Bjoern Menze and Olaf Ronneberger and Ronald M. Summers and Bram van Ginneken and Michel Bilello and Patrick Bilic and Patrick F. Christ and Richard K. G. Do and Marc J. Gollub and Stephan H. Heckers and Henkjan Huisman and William R. Jarnagin and Maureen K. McHugo and Sandy Napel and Jennifer S. Goli Pernicka and Kawal Rhode and Catalina Tobon-Gomez and Eugene Vorontsov and Henkjan Huisman and James A. Meakin and Sebastien Ourselin and Manuel Wiesenfarth and Pablo Arbelaez and Byeonguk Bae and Sihong Chen and Laura Daza and Jianjiang Feng and Baochun He and Fabian Isensee and Yuanfeng Ji and Fucang Jia and Namkug Kim and Ildoo Kim and Dorit Merhof and Akshay Pai and Beomhee Park and Mathias Perslev and Ramin Rezaiifar and Oliver Rippel and Ignacio Sarasua and Wei Shen and Jaemin Son and Christian Wachinger and Liansheng Wang and Yan Wang and Yingda Xia and Daguang Xu and Zhanwei Xu and Yefeng Zheng and Amber L. Simpson and Lena Maier-Hein and M. Jorge Cardoso,,,
