bibkey,type,title,authors,doi,gs_citations,journal
AA,string,,,,,
AAC,string,,,,,
AACC,string,,,,,
AAPM,string,,,,,
AATC,string,,,,,
ABDI,string,,,,,
ACAEMEMED,string,,,,,
ACHA,string,,,,,
ACMCS,string,,,,,
ACMTG,string,,,,,
ACMTIS,string,,,,,
ACMTMS,string,,,,,
ACR,string,,,,,
ACSCHENEU,string,,,,,
ACTAB,string,,,,,
ACTANASCA,string,,,,,
ACTBIOMAT,string,,,,,
ACTNC,string,,,,,
ACTNEUBEL,string,,,,,
ACTNEUSCA,string,,,,,
ACTNP,string,,,,,
ACTONC,string,,,,,
ACTOPH,string,,,,,
ACTOPHSCA,string,,,,,
ACTOTT,string,,,,,
ACTP,string,,,,,
ACTR,string,,,,,
Acustica,string,,,,,
ADVCI,string,,,,,
ADVDDR,string,,,,,
ADVEMB,string,,,,,
ADVFM,string,,,,,
AE,string,,,,,
AFRHS,string,,,,,
AHJ,string,,,,,
AI,string,,,,,
AIM,string,,,,,
AJC,string,,,,,
AJCLIONC,string,,,,,
AJCN,string,,,,,
AJCP,string,,,,,
AJE,string,,,,,
AJEM,string,,,,,
AJGE,string,,,,,
AJH,string,,,,,
AJHG,string,,,,,
AJHP,string,,,,,
AJHS,string,,,,,
AJIM,string,,,,,
AJM,string,,,,,
AJMG,string,,,,,
AJMGA,string,,,,,
AJMGB,string,,,,,
AJMMS,string,,,,,
AJNEPH,string,,,,,
AJNR,string,,,,,
AJO,string,,,,,
AJOG,string,,,,,
AJP,string,,,,,
AJPA,string,,,,,
AJPAT,string,,,,,
AJPCP,string,,,,,
AJPEM,string,,,,,
AJPHCP,string,,,,,
AJPM,string,,,,,
AJPSY,string,,,,,
AJR,string,,,,,
AJRCCM,string,,,,,
AJS,string,,,,,
AJSP,string,,,,,
AKTRAD,string,,,,,
Algorithmica,string,,,,,
AM,string,,,,,
AMSTAT,string,,,,,
ANALCHEM,string,,,,,
Angiogenesis,string,,,,,
ANIMRS,string,,,,,
ANNREVPAT,string,,,,,
AOAMS,string,,,,,
AOBE,string,,,,,
AOCR,string,,,,,
AODP,string,,,,,
AOE,string,,,,,
AOH,string,,,,,
AOIM,string,,,,,
AON,string,,,,,
AONYAS,string,,,,,
AOO,string,,,,,
AOORL,string,,,,,
AORD,string,,,,,
AOS,string,,,,,
AOSO,string,,,,,
AOSURG,string,,,,,
AOTS,string,,,,,
AOVS,string,,,,,
Apidologie,string,,,,,
APMR,string,,,,,
APOPT,string,,,,,
APRAD,string,,,,,
APSC,string,,,,,
APT,string,,,,,
AQCH,string,,,,,
AR,string,,,,,
ARBE,string,,,,,
ARCDC,string,,,,,
ARCGO,string,,,,,
ARCIM,string,,,,,
ARCN,string,,,,,
ARCO,string,,,,,
ARCOHNS,string,,,,,
ARCPLM,string,,,,,
ARCS,string,,,,,
ARLO,string,,,,,
ARP,string,,,,,
ARRD,string,,,,,
ARTR,string,,,,,
ARVO,string,,,,,
ASTJ,string,,,,,
ASTP,string,,,,,
Atherosclerosis,string,,,,,
ATM,string,,,,,
ATS,string,,,,,
ATVB,string,,,,,
AUSNZJO,string,,,,,
AUSPESM,string,,,,,
AUSRAD,string,,,,,
Automedica,string,,,,,
BAMS,string,,,,,
BCRT,string,,,,,
BDM,string,,,,,
BEJZ,string,,,,,
Bildgebung,string,,,,,
BIOBA,string,,,,,
Biochemistry,string,,,,,
BIOCJ,string,,,,,
BIOCST,string,,,,,
BIOD,string,,,,,
BioIm,string,,,,,
BIOLC,string,,,,,
BIOLN,string,,,,,
BIOLP,string,,,,,
Biomaterials,string,,,,,
BIOMDL,string,,,,,
BIOMEO,string,,,,,
Biometrics,string,,,,,
Biometrika,string,,,,,
BIOMS,string,,,,,
BIOMSI,string,,,,,
BIOMT,string,,,,,
BIOPC,string,,,,,
BIOPLJ,string,,,,,
BIOPSJ,string,,,,,
Biotechniques,string,,,,,
BJA,string,,,,,
BJC,string,,,,,
BJCP,string,,,,,
BJDC,string,,,,,
BJHS,string,,,,,
BJIM,string,,,,,
BJO,string,,,,,
BJOG,string,,,,,
BJP,string,,,,,
BJR,string,,,,,
BJS,string,,,,,
BJUI,string,,,,,
Blut,string,,,,,
BMCCAN,string,,,,,
BMCID,string,,,,,
BMCIMM,string,,,,,
BMCMI,string,,,,,
BMCMIDM,string,,,,,
BMCMRM,string,,,,,
BMCNEU,string,,,,,
BMCPH,string,,,,,
BMCPM,string,,,,,
BMCRN,string,,,,,
BMCSUR,string,,,,,
BMCWH,string,,,,,
BMJ,string,,,,,
BMJCR,string,,,,,
BMJO,string,,,,,
BMT,string,,,,,
BMVC,string,,,,,
BOE,string,,,,,
Bone,string,,,,,
BRAI,string,,,,,
Brain,string,,,,,
BRAP,string,,,,,
BRAR,string,,,,,
BRASF,string,,,,,
BRAT,string,,,,,
Breast,string,,,,,
BREC,string,,,,,
BRECR,string,,,,,
BRECRT,string,,,,,
BREJ,string,,,,,
BSTJ,string,,,,,
BULMB,string,,,,,
BULWHO,string,,,,,
CACJC,string,,,,,
CADES,string,,,,,
CAJM,string,,,,,
CANARJ,string,,,,,
CANB,string,,,,,
CANBR,string,,,,,
Cancer,string,,,,,
CANCERS,string,,,,,
CANE,string,,,,,
CANEBP,string,,,,,
CANI,string,,,,,
CANL,string,,,,,
CANR,string,,,,,
CANTR,string,,,,,
CARIR,string,,,,,
CARRES,string,,,,,
CARS,string,,,,,
CARY,string,,,,,
CAS,string,,,,,
CATHCVI,string,,,,,
CBM,string,,,,,
CBR,string,,,,,
CC,string,,,,,
CCT,string,,,,,
CD,string,,,,,
CDSR,string,,,,,
CELBB,string,,,,,
Cell,string,,,,,
CELLO,string,,,,,
CELMLS,string,,,,,
CERVD,string,,,,,
CG,string,,,,,
CGA,string,,,,,
CGC,string,,,,,
CGIP,string,,,,,
Chemphyschem,string,,,,,
Chest,string,,,,,
CHIMJ,string,,,,,
CHIMSJ,string,,,,,
Chirurg,string,,,,,
CIRCCVI,string,,,,,
CIRCJ,string,,,,,
CIRCRES,string,,,,,
Circulation,string,,,,,
CLEPCFJ,string,,,,,
Climacteric,string,,,,,
CLINATH,string,,,,,
CLINCC,string,,,,,
CLINCHEM,string,,,,,
CLINCM,string,,,,,
CLINCR,string,,,,,
CLINEND,string,,,,,
CLINEOPH,string,,,,,
CLINEOPT,string,,,,,
CLINEPP,string,,,,,
CLINGH,string,,,,,
CLINI,string,,,,,
CLINID,string,,,,,
CLINNEPH,string,,,,,
CLINNM,string,,,,,
CLINNN,string,,,,,
CLINNP,string,,,,,
CLINORR,string,,,,,
CLINR,string,,,,,
CLINTHE,string,,,,,
CLIONC,string,,,,,
CMBBE,string,,,,,
CMIG,string,,,,,
CMPB,string,,,,,
CMR,string,,,,,
COMJ,string,,,,,
COMMACM,string,,,,,
COMMMED,string,,,,,
COMPAY,string,,,,,
Computing,string,,,,,
CONCLITRI,string,,,,,
CONMMI,string,,,,,
COPD,string,,,,,
COPDM,string,,,,,
COPM,string,,,,,
CPAM,string,,,,,
CPCV,string,,,,,
CPEE,string,,,,,
CPEMBS,string,,,,,
CRCM,string,,,,,
CRD,string,,,,,
CRIC,string,,,,,
CRIREVDI,string,,,,,
CRIREVOH,string,,,,,
CRM,string,,,,,
CSCNA,string,,,,,
CSE,string,,,,,
CTI,string,,,,,
CURDR,string,,,,,
CURDRV,string,,,,,
CURER,string,,,,,
CURMCAA,string,,,,,
CURMEDRESOPI,string,,,,,
CURNNR,string,,,,,
CUROPCC,string,,,,,
CUROPO,string,,,,,
CUROPPM,string,,,,,
CUROPU,string,,,,,
CURPDR,string,,,,,
CURUROREP,string,,,,,
CVGIP,string,,,,,
CVIR,string,,,,,
CVIU,string,,,,,
CVPR,string,,,,,
Cytometry,string,,,,,
CytometryB,string,,,,,
DAM,string,,,,,
DBME,string,,,,,
DC,string,,,,,
DDT,string,,,,,
DENTRAD,string,,,,,
DI,string,,,,,
Diabetes,string,,,,,
Diabetologia,string,,,,,
DIE,string,,,,,
DIGD,string,,,,,
DIGDS,string,,,,,
DIGMAM,string,,,,,
DIR,string,,,,,
DM,string,,,,,
DMBE,string,,,,,
DMCN,string,,,,,
DMKD,string,,,,,
DPR,string,,,,,
DRCP,string,,,,,
DTT,string,,,,,
EAU,string,,,,,
EBCC,string,,,,,
EBJ,string,,,,,
ECCV,string,,,,,
Ecology,string,,,,,
ECP,string,,,,,
ECR,string,,,,,
EER,string,,,,,
EHD,string,,,,,
EHJ,string,,,,,
EHJCVI,string,,,,,
EJAP,string,,,,,
EJBIOCHEM,string,,,,,
EJC,string,,,,,
EJCI,string,,,,,
EJCP,string,,,,,
EJCTS,string,,,,,
EJE,string,,,,,
EJEC,string,,,,,
EJEND,string,,,,,
EJHF,string,,,,,
EJHG,string,,,,,
EJIM,string,,,,,
EJIVP,string,,,,,
EJMR,string,,,,,
EJN,string,,,,,
EJNEUSCI,string,,,,,
EJNM,string,,,,,
EJNMMI,string,,,,,
EJP,string,,,,,
EJPED,string,,,,,
EJPS,string,,,,,
EJR,string,,,,,
EJSUR,string,,,,,
EJSURONC,string,,,,,
EJTES,string,,,,,
EJUS,string,,,,,
EJVES,string,,,,,
ELE,string,,,,,
EMBM,string,,,,,
EMBS,string,,,,,
EMEMCNA,string,,,,,
EMEMJ,string,,,,,
EMERAD,string,,,,,
Endocrine,string,,,,,
ENPP,string,,,,,
EOPT,string,,,,,
Epilepsia,string,,,,,
EPJC,string,,,,,
EPL,string,,,,,
ER,string,,,,,
ERACT,string,,,,,
ERAIT,string,,,,,
Ergonomics,string,,,,,
ERJ,string,,,,,
ERJS,string,,,,,
ERMD,string,,,,,
ERNT,string,,,,,
ERS,string,,,,,
ESA,string,,,,,
ESJ,string,,,,,
ESMRMB,string,,,,,
ESNR,string,,,,,
ESTI,string,,,,,
ETHIOPMJ,string,,,,,
EU,string,,,,,
EUF,string,,,,,
EURETINA,string,,,,,
EXPBR,string,,,,,
EXPCR,string,,,,,
EXPGER,string,,,,,
Eye,string,,,,,
FEBSL,string,,,,,
FICT,string,,,,,
FTCGV,string,,,,,
GACEO,string,,,,,
Gamma,string,,,,,
Gastroenterology,string,,,,,
GigaScience,string,,,,,
GO,string,,,,,
GROHIR,string,,,,,
Gut,string,,,,,
HEADN,string,,,,,
HEARINGR,string,,,,,
Hepatology,string,,,,,
Herz,string,,,,,
Histopathology,string,,,,,
HORMONER,string,,,,,
HTA,string,,,,,
HUMBM,string,,,,,
HUMMG,string,,,,,
HUMP,string,,,,,
Hypertension,string,,,,,
Hystrix,string,,,,,
IAOEH,string,,,,,
ICCV,string,,,,,
ICIP,string,,,,,
ICM,string,,,,,
ICML,string,,,,,
ICPR,string,,,,,
ICS,string,,,,,
ICVTS,string,,,,,
IDAQPRT,string,,,,,
IDMRI,string,,,,,
IEM,string,,,,,
IF,string,,,,,
IIM,string,,,,,
IJBI,string,,,,,
IJBIOMAR,string,,,,,
IJBIOMET,string,,,,,
IJBRECAN,string,,,,,
IJC,string,,,,,
IJCARD,string,,,,,
IJCARDHV,string,,,,,
IJCARS,string,,,,,
IJCI,string,,,,,
IJCOPD,string,,,,,
IJCV,string,,,,,
IJCVI,string,,,,,
IJECE,string,,,,,
IJEPI,string,,,,,
IJGO,string,,,,,
IJGYNCAN,string,,,,,
IJHYPERT,string,,,,,
IJINFDIS,string,,,,,
IJINTCAR,string,,,,,
IJIST,string,,,,,
IJMI,string,,,,,
IJMMMAS,string,,,,,
IJMOLSCI,string,,,,,
IJNM,string,,,,,
IJO,string,,,,,
IJOMS,string,,,,,
IJONC,string,,,,,
IJPHA,string,,,,,
IJPRAI,string,,,,,
IJRARCS,string,,,,,
IJROBP,string,,,,,
IJS,string,,,,,
IJSP,string,,,,,
IJTECASSHC,string,,,,,
IJTLD,string,,,,,
IJU,string,,,,,
IJWOMHEA,string,,,,,
INDAMAT,string,,,,,
INDJO,string,,,,,
INDPED,string,,,,,
Infection,string,,,,,
INSI,string,,,,,
INTMEDJ,string,,,,,
INTNR,string,,,,,
INVPRO,string,,,,,
IOVS,string,,,,,
IPL,string,,,,,
IPMI,string,,,,,
IR,string,,,,,
IRJMEDSCI,string,,,,,
IS,string,,,,,
ISBI,string,,,,,
ISMRM,string,,,,,
ISSM,string,,,,,
IUGJ,string,,,,,
IUJPFD,string,,,,,
IUN,string,,,,,
IUS,string,,,,,
IVC,string,,,,,
JA,string,,,,,
JAAD,string,,,,,
JAAPOS,string,,,,,
JACC,string,,,,,
JACCCI,string,,,,,
JACI,string,,,,,
JACM,string,,,,,
JACMP,string,,,,,
JACOUSTSOCAM,string,,,,,
JACR,string,,,,,
JACS,string,,,,,
JAIDS,string,,,,,
JAIR,string,,,,,
JAMA,string,,,,,
JAMAO,string,,,,,
JAMBOAFAM,string,,,,,
JAMC,string,,,,,
JAMCOLSUR,string,,,,,
JAMIA,string,,,,,
JAP,string,,,,,
JAPE,string,,,,,
JAPSCI,string,,,,,
JASA,string,,,,,
JASEC,string,,,,,
JASN,string,,,,,
JAT,string,,,,,
JB,string,,,,,
JBC,string,,,,,
JBELSORAD,string,,,,,
JBHI,string,,,,,
JBIOMECH,string,,,,,
JBIOMEDENG,string,,,,,
JBIOMEDINF,string,,,,,
JBIOMEDOPT,string,,,,,
JBIOMEDSCI,string,,,,,
JBIOMOLNMR,string,,,,,
JBMRA,string,,,,,
JBRASP,string,,,,,
JCAT,string,,,,,
JCBFM,string,,,,,
JCD,string,,,,,
JCELBCS,string,,,,,
JCELBIO,string,,,,,
JCELPHY,string,,,,,
JCELSCI,string,,,,,
JCGS,string,,,,,
JCHEMPHYS,string,,,,,
JCHIMEDASS,string,,,,,
JCHRMEDASSIND,string,,,,,
JCI,string,,,,,
JCICS,string,,,,,
JCLIMIC,string,,,,,
JCLINEM,string,,,,,
JCLINEPI,string,,,,,
JCLINI,string,,,,,
JCMC,string,,,,,
JCMFS,string,,,,,
JCN,string,,,,,
JCO,string,,,,,
JCOGNEUSCI,string,,,,,
JCOLPHYSURPAK,string,,,,,
JCOMPSY,string,,,,,
JCOMPUTPHYS,string,,,,,
JCOMSYSSCI,string,,,,,
JCONBRA,string,,,,,
JCONREL,string,,,,,
JCP,string,,,,,
JCSS,string,,,,,
JCVCT,string,,,,,
JCVMR,string,,,,,
JCVPHA,string,,,,,
JCVR,string,,,,,
JCVS,string,,,,,
JDAISCI,string,,,,,
JDEN,string,,,,,
JDI,string,,,,,
JDIACOM,string,,,,,
JECH,string,,,,,
JECP,string,,,,,
JEDURES,string,,,,,
JEI,string,,,,,
JEMATH,string,,,,,
JEMED,string,,,,,
JET,string,,,,,
JEU,string,,,,,
JEXPMED,string,,,,,
JFS,string,,,,,
JGAA,string,,,,,
JGT,string,,,,,
JHEP,string,,,,,
JHOSPI,string,,,,,
JHS,string,,,,,
JHVD,string,,,,,
JHYPT,string,,,,,
JI,string,,,,,
JIB,string,,,,,
JIC,string,,,,,
JIM,string,,,,,
JIMDR,string,,,,,
JINF,string,,,,,
JINHMETDIS,string,,,,,
JINSURMED,string,,,,,
JINTMEDRES,string,,,,,
JINVC,string,,,,,
JIS,string,,,,,
JIST,string,,,,,
JJCO,string,,,,,
JJID,string,,,,,
JJR,string,,,,,
JKORMEDSCI,string,,,,,
JM,string,,,,,
JMA,string,,,,,
JMATSCIMATMED,string,,,,,
JMBE,string,,,,,
JMCR,string,,,,,
JMEDCHE,string,,,,,
JMEDULT,string,,,,,
JMI,string,,,,,
JMICROENC,string,,,,,
JMIRO,string,,,,,
JMIV,string,,,,,
JMLR,string,,,,,
JMOLBIOL,string,,,,,
JMOLCELCAR,string,,,,,
JMPSY,string,,,,,
JMR,string,,,,,
JMRI,string,,,,,
JMSCR,string,,,,,
JMSS,string,,,,,
JMSYS,string,,,,,
JN,string,,,,,
JNANO,string,,,,,
JNC,string,,,,,
JNCCN,string,,,,,
JNCI,string,,,,,
JNEPH,string,,,,,
JNEUCHE,string,,,,,
JNEUDEGDIS,string,,,,,
JNEUIMA,string,,,,,
JNEUIMM,string,,,,,
JNEUINTSUR,string,,,,,
JNEUONC,string,,,,,
JNEURAD,string,,,,,
JNEUSCI,string,,,,,
JNM,string,,,,,
JNNP,string,,,,,
JNSCI,string,,,,,
JNSCIM,string,,,,,
JNSUR,string,,,,,
JNTRA,string,,,,,
JNUCMEDTEC,string,,,,,
JOB,string,,,,,
JOE,string,,,,,
JOEM,string,,,,,
JOH,string,,,,,
JOMT,string,,,,,
JOPH,string,,,,,
JOSAA,string,,,,,
JOSAB,string,,,,,
JOV,string,,,,,
JOVE,string,,,,,
JPAT,string,,,,,
JPATINF,string,,,,,
JPED,string,,,,,
JPEDGAS,string,,,,,
JPEDHEM,string,,,,,
JPEDSUR,string,,,,,
JPEDURO,string,,,,,
JPGM,string,,,,,
JPHYSIOL,string,,,,,
JPS,string,,,,,
JPSYRES,string,,,,,
JR,string,,,,,
