bibkey,ss_id,all_ss_ids,comment
Adri11,691c90e68eab1dcae5861fba0eab73ba626e6777,,single doi match
Adri11b,c738da78dc1fb336a8dff5a8047059d52a6de939,,single doi match
Adri11c,9fabf1bc1c126702a051ec56474af2d1518ad0ba,,single doi match
Altu20,90a870cbb9897124193ba18c5358fe45b6260621,,single doi match
Alves22a,3a84e2a533df9a1351f7442735c961bc80b5892e,,single doi match
Amga20,b4c4c3dc91d42114023b0575c3e2273b87446ff7,"['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7']","multiple doi matches ['69999230b02054b82254684a73bb8a4c83878d28', 'b4c4c3dc91d42114023b0575c3e2273b87446ff7'], took the first one with most citations"
Anto22,979a9f247700d00ff2c3f0612d5eb001379f93c8,"['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26']","multiple doi matches ['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26'], took the first one with most citations"
Apru19,0c44949334771d4e331d792bc0db77c7fe708ca2,,single doi match
Ares19,b3dc561dd990cebc626e10318b8582a198aa3571,,single doi match
Arma08,a2f3a3a2d800b5ebba57a7df9b66865bd190e6a6,,single doi match
Arma18,86cfa3c1324e704263cd7e39d9bed566c47f556e,,single doi match
Arnt16,c73a1da11addbc1436980c4a327124bfacc491d3,,single doi match
Arta09,6f8ce3c9888cefd812fc1de939e5f7a73786152e,,single doi match
Arta09a,d2056f4696e6badb76a795147c1f7fbb07ecf076,,single doi match
Arzh06,e03a6b506700d339efbf75c7547aa6507ec792ae,,single doi match
Arzh06a,a96e8a989d891bf4d8b015397a1c6ebf1cf39012,,single doi match
Arzh07,9c07ff13ddc83e02c2432b48886cfa9717cc196b,,single doi match
Arzh09,445c06e086a985f3b08982ec6cc126bd92e40d11,,single doi match
Arzh09b,e007b22f9cd225c0831cafe69b2074c5ca2a6da1,,single doi match
Arzh10,e9a1022bef95937ea3a55df1ea1d5fd3aec2ebf5,,single doi match
Aswo21,6b71ee48bb52c6aab084e7325669e0116dda292b,,single doi match
Avoi13,cbbe7f568d45425dc6410a27c56468f9fdfefab1,,single doi match
Ayat20,f435c3f782e98246413f30adcf8f78899650d23f,,single doi match
Baid18,c549a002b6c2d5849674288cdf82bc2b2c0629d7,,single doi match
Baid18a,4c56dbeda2cb93aadcc8e5c697ccb6f44283799b,,single doi match
Bakk19,60ba4be07cc7c44df3c4baf8ceece4b460bdb774,,single doi match
Balk19,94962ef85aca6df5c8289874b56bcaa8722dc596,"['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596']","multiple doi matches ['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596'], took the first one with most citations"
Balk19b,66f70286594b27928fb0eea3b4a0f292261c292f,,single doi match
Balk20,2c00230262e1e99862ab27743b725e222a74dcca,,single doi match
Balk21,25890a20503e79f773f427c999fcb41387f0aab1,,single doi match
Balo13,df978fe2a5083f91d02e1206b1acab108977b3b3,,single doi match
Balo18,3a3664f9b7e6c4258d9dc282c9c43a95054c648e,,single doi match
Balt18,393450e398ef7775bd9a0300974d1e31636b5a26,,single doi match
Balt19b,20fe29e553477d9bd330f052e4d01c0c1c616b22,,single doi match
Band17,418354adcafbc948c266c55564feb5b12cc3dc21,,single doi match
Band19a,e1170679c6b5fe0addb40cfb62076979a3b3ebec,,single doi match
Band23,4bcd672218ecec70473c84f6f1cc52c64031f3e5,,single doi match
Bare99,46b888d39bbf82a9ff78a5bfb581b4ded6df46bc,,single doi match
Bart20,dd270749c2da64ae1d99baa1c40bc904b28b892f,,single doi match
Beck19a,5a7fca54156869246045d31ebf54ff10408deccb,,single doi match
Bejn14,e39a5aa36977c617a9caecb6da5c87e27886ad6f,,single doi match
