staff_id,ss_id,title,doi,ss_citations
8038506,1898998f27ce0750a42f8f3ca2ed7e292f05aee2,Understanding metric-related pitfalls in image analysis validation,10.48550/arXiv.2302.01790,5
8038506,362c510dec0d566d22d5be3af0519fc7eec8bb86,Uncertainty-Aware Multiple-Instance Learning for Reliable Classification: Application to Optical Coherence Tomography,,0
8038506,4bcd672218ecec70473c84f6f1cc52c64031f3e5,Continual learning strategies for cancer-independent detection of lymph node metastases,10.1016/j.media.2023.102755,0
8038506,7981606bf8110ec6cc64baa22d694096f7862939,AIROGS: Artificial Intelligence for RObust Glaucoma Screening Challenge,10.48550/arXiv.2302.01738,2
8038506,e738d94746b0f33b1c48737022ab186618d4d4cd,SimpleRad: Patient-Friendly Dutch Radiology Reports,10.1007/978-3-031-28241-6_18,0
8038506,2d49fb82fd715a213e2149f9f08dd2fb4749b235,Challenges in digital medicine applications in under-resourced settings,10.1038/s41467-022-30728-3,3
8038506,2f2182f8e55be5a85c1316cd1b181cd5c85c106c,Metrics reloaded: Pitfalls and recommendations for image analysis validation,10.48550/arXiv.2206.01653,46
8038506,41f386d38567e38132525cad9bdc7da1ad6e8f1c,Automated COVID-19 Grading With Convolutional Neural Networks in Computed Tomography Scans: A Systematic Comparison,10.1109/tai.2021.3115093,4
8038506,5a09637587e694a03f68a4ee1046d31aa97fd0c0,Structure and position-aware graph neural network for airway labeling,,2
8038506,bc6b483f9b1fa630fa4b43158b13716f1ca7497b,Domain adaptation strategies for cancer-independent detection of lymph node metastases,10.48550/arXiv.2207.06193,1
8038506,c661857719657aac571718e3d48cb66b8fc1e941,Prostate158 - An expert-annotated 3T MRI dataset and algorithm for prostate cancer detection,10.1016/j.compbiomed.2022.105817,5
8038506,1d5f65d8f721089fca1e7fac8d1ef214f12e2c23,Automated estimation of total lung volume using chest radiographs and deep learning,10.1002/mp.15655,2
8038506,29595323a6789fec907a39c4de1ad56b75c74630,Deep Clustering Activation Maps for Emphysema Subtyping,,0
8038506,2e09fa7387659a79f41d809ce40d32cc8c847bb7,"Learn2Reg: Comprehensive Multi-Task Medical Image Registration Challenge, Dataset and Evaluation in the Era of Deep Learning",10.1109/TMI.2022.3213983,46
8038506,4c4f04d1af903f4eabe7767b47439a79e0f6a711,Adversarial cycle-consistent synthesis of cerebral microbleeds for data augmentation,,2
8038506,58f03af16be931f9a56c8499ed30efbb9b9c3592,Deep learning with robustness to missing data: A novel approach to the detection of COVID-19,10.1371/journal.pone.0255301,2
8038506,6257ee97417d8bead217991caf7c3cd5b439e040,Common Limitations of Image Processing Metrics,,0
8038506,6cc01a49101001e1a490645e941b3d2311dd4265,Deep Learning for Chest X-ray Analysis: A Survey,10.1016/j.media.2021.102125,113
8038506,787ef2981e94e481432cb2a1296903676ec80fa9,Common Limitations of Image Processing Metrics: A Picture Story,,76
8038506,8c4fab5306f4c4e179cfae2acd3427fb5d661627,The Potential of Artificial Intelligence to Analyze Chest Radiographs for Signs of COVID-19 Pneumonia.,10.1148/RADIOL.2020204238,1
8038506,979a9f247700d00ff2c3f0612d5eb001379f93c8,The Medical Segmentation Decathlon,10.1038/s41467-022-30695-9,250
8038506,b0255ad2c81689cfd14ec8573780400a5fbf7b99,Dense regression activation maps for lesion segmentation in CT scans of COVID-19 patients,10.1016/j.media.2023.102771,1
8038506,f574d9f2b018d707ff0c2dbcd250fcd4ee2856ae,Learn2Reg - The Challenge (2021),10.5281/ZENODO.4573968,1
