staff_id,staff_name,staff_from,staff_till,ss_year,ss_id,title,doi,ss_citations
123637526,Bram van Ginneken,1996,9999,2016,0023c0af3833ba26698ff22e236f3625f1533e86,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging.,10.1148/radiol.2015142230,23
2657081,Rashindra Manniesing,2010,2021,2016,0023c0af3833ba26698ff22e236f3625f1533e86,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging.,10.1148/radiol.2015142230,23
8038506,Bram van Ginneken,1996,9999,2003,00559146cc1276c6c98401e2aa35e591ebccca76,Model-based segmentation of abdominal aortic aneurysms in CTA images,10.1117/12.481367,28
2895994,Colin Jacobs,2010,9999,2020,0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,10.7717/peerj.9166,0
1419819133,Cornelia Schaefer-Prokop,2010,9999,2020,0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,10.7717/peerj.9166,0
123637526,Bram van Ginneken,1996,9999,2020,0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,10.7717/peerj.9166,0
153744566,Alessa Hering,2018,9999,2022,00744ccc38761d1fec5542d0bc9bdf929fd855ca,Rapid artificial intelligence solutions in a pandemic—The COVID-19-20 Lung CT Lesion Segmentation Challenge,10.1016/j.media.2022.102605,0
4960344,James Meakin,2017,9999,2018,0075a6b4a31f64f027ee1d300803d00317547557,Quantitative blood flow measurement in rat brain with multiphase arterial spin labelling magnetic resonance imaging,10.1177/0271678X18756218,25
123637526,Bram van Ginneken,1996,9999,2010,0081e840aeaaa405c804371a3768db33d86bab0e,Coronary artery calcification scoring in low-dose ungated CT screening for lung cancer: interscan agreement.,10.2214/AJR.09.3047,51
1745574,Nico Karssemeijer,1989,2022,2003,009d23a03a365fbc8b565f898033885d9f6018db,Image Quality of a Dual Side Reading Fuji Computed Mammography System Compared to the GE FFDM System and a Film/Screen Mammography System,10.1007/978-3-642-59327-7_37,3
34754023,Henjan Huisman,1992,9999,2003,00d6e9cc516828691252d55e2e94e42c4212ba19,Semi-automatic Image Registration of MRI to CT Data of the Prostate Using Gold Markers as Fiducials,10.1007/978-3-540-39701-4_33,10
144085811,Clarisa Sanchez,2008,2021,2011,00f84e14bc59fd215a0358974b6f0fc9f5bb56a8,Detección automática de microaneurismas en retinografías,10.1016/J.OFTAL.2011.04.015,5
123637526,Bram van Ginneken,1996,9999,2019,010f33ceac3fb9aae25cb7ef51ba0f0dda95bb24,Predicting all-cause and lung cancer mortality using emphysema score progression rate between baseline and follow-up chest CT images: A comparison of risk model performances,10.1371/journal.pone.0212756,2
1419819133,Cornelia Schaefer-Prokop,2010,9999,2019,010f33ceac3fb9aae25cb7ef51ba0f0dda95bb24,Predicting all-cause and lung cancer mortality using emphysema score progression rate between baseline and follow-up chest CT images: A comparison of risk model performances,10.1371/journal.pone.0212756,2
2895994,Colin Jacobs,2010,9999,2019,010f33ceac3fb9aae25cb7ef51ba0f0dda95bb24,Predicting all-cause and lung cancer mortality using emphysema score progression rate between baseline and follow-up chest CT images: A comparison of risk model performances,10.1371/journal.pone.0212756,2
145959882,Geert Litjens,2016,9999,2021,014718afc12c16c0a80091c389bc661933484793,Artificial Intelligence for Diagnosis and Gleason Grading of Prostate Cancer in Biopsies-Current Status and Next Steps.,10.1016/j.euf.2021.07.002,10
1745574,Nico Karssemeijer,1989,2022,2011,01491b1e830ef88a3e39a06313bc27390167fd86,Computer aided detection of breast masses in mammography using support vector machine classification,10.1117/12.878140,18
1419819133,Cornelia Schaefer-Prokop,2010,9999,2011,01a0358634c51da3d744e7d4ee21f09a235ef2e0,Meconium Aspiration Syndrome,10.1055/B-0034-84660,0
1419819133,Cornelia Schaefer-Prokop,2010,9999,2011,01b5a6b6200c50524f66674baf856fc090de8e39,Acute Gastrointestinal Bleeding,10.1055/B-0034-84648,0
1745574,Nico Karssemeijer,1989,2022,2010,01bb3eaa558de011fe6cf83f854ed64208cf6785,Computer-Aided Diagnosis With Temporal Analysis to Improve Radiologists’ Interpretation of Mammographic Mass Lesions,10.1109/TITB.2010.2043296,35
8038506,Bram van Ginneken,1996,9999,2017,01df4624e9578fd597b0f0ee6d81ac508363e1eb,Fully automated detection of hyperreflective foci in optical coherence tomography,,0
144085811,Clarisa Sanchez,2008,2021,2017,01df4624e9578fd597b0f0ee6d81ac508363e1eb,Fully automated detection of hyperreflective foci in optical coherence tomography,,0
1745574,Nico Karssemeijer,1989,2022,2008,01e9a45f2aa66160883ff062da13e14f4ea96199,"Differential impact of conventional and low‐dose oral hormone therapy, tibolone and raloxifene on mammographic breast density, assessed by an automated quantitative method",10.1111/j.1471-0528.2008.01690.x,28
1745574,Nico Karssemeijer,1989,2022,2013,024137b64819b9f18837d405e4ecff2572468c80,Breast segmentation in MRI: quantitative evaluation of three methods,10.1117/12.2006541,16
8038506,Bram van Ginneken,1996,9999,2008,024bb3acac8036e8a335b909f91c78391dcd4868,Adaptive local multi-atlas segmentation: application to heart segmentation in chest CT scans,10.1117/12.772301,21
1798137,Bram Platel,2010,2019,2013,0257287f6628466cb01815358a9955962faf43af,Illustrative uncertainty visualization of DTI fiber pathways,10.1007/s00371-012-0733-9,26
